file,field,description
state_graduate_outlook_2026_2041.csv,projected_high_school_graduates,WICHE projected total public and private high school graduates
state_graduate_outlook_2026_2041.csv,pct_change_from_2026,Projected percentage change relative to the class of 2026
state_graduate_outlook_2026_2041.csv,share_of_national_pool,State share of projected US graduates in the selected year
state_survival_ratios.csv,median_ratio,Median observed progression ratio from one grade to the next
state_survival_ratios.csv,pre_covid_median,Median transition ratio using transition years through 2018
state_survival_ratios.csv,recent_median,Median transition ratio for transition years 2017 onward
state_survival_ratios.csv,median_absolute_deviation,Robust measure of transition-ratio variability
backtest_summary.csv,weighted_absolute_percentage_error,Total absolute error divided by total observed enrollment
backtest_summary.csv,weighted_bias,Aggregate prediction error divided by total observed enrollment
