state,state_name,from_stage,to_stage,n_years,median_ratio,pre_covid_median,recent_median,median_absolute_deviation,min_ratio,max_ratio
AK,Alaska,Grade 1,Grade 2,14,0.9950535693319749,0.9939548502880892,0.9961522883758607,0.00526059313471211,0.9810602362589085,1.0094504365690806
AK,Alaska,Grade 2,Grade 3,14,0.9961573327391886,0.9959295817645263,0.998507314160613,0.008068811317458291,0.9795231971510535,1.0082412060301507
AK,Alaska,Grade 3,Grade 4,14,0.9914391951136388,0.9909109270854373,0.9982257269590932,0.006010447360754068,0.9770854271356784,1.0135189669087974
AK,Alaska,Grade 4,Grade 5,14,0.9977209174920696,0.9973782393869114,0.9981470645601717,0.005378154906377053,0.9757085020242915,1.011070110701107
AK,Alaska,Grade 5,Grade 6,14,0.9954286569931048,0.9952482054392883,0.996974724309554,0.0050841760063305985,0.9827940170104604,1.0069951338199514
AK,Alaska,Grade 6,Grade 7,14,0.9952003319092793,0.9970978441127695,0.9945272119185162,0.0038850942924260057,0.9786149695213351,1.022878932316492
AK,Alaska,Grade 7,Grade 8,14,0.9903758207424536,0.9892767031118587,0.9948227797690163,0.005491352918086334,0.9787,0.9998009950248756
AK,Alaska,Grade 8,Grade 9,14,1.0213034928767581,1.0219289129079194,1.0186148919135307,0.002750563391831218,1.0008440599282549,1.0453840587201488
AK,Alaska,Grade 9,Grade 10,14,0.9636047407877328,0.961527446300716,0.9671478347436535,0.004854938149198074,0.9480383973288815,0.9802867383512545
AK,Alaska,Grade 10,Grade 11,14,1.00292521549789,1.0049547608789315,0.9988359788359789,0.005210211754488214,0.9729671513193322,1.066078431372549
AK,Alaska,Grade 11,Grade 12,14,1.019457990967823,1.0135191783693147,1.0223087446069663,0.013284086741667589,0.8867941879713077,1.0497011290679654
AL,Alabama,Grade 1,Grade 2,14,0.9761923297390671,0.9760262948342172,0.9788604400839935,0.0036549358235554164,0.9609927817089216,0.9865683004640371
AL,Alabama,Grade 2,Grade 3,14,0.9953535550001342,0.9955760169765853,0.9955760169765853,0.003257040518026666,0.9801682692307693,1.0103835558381014
AL,Alabama,Grade 3,Grade 4,14,0.9991493907734028,0.9986093244793659,0.9997966803445344,0.004046874060250671,0.9827994606610546,1.0146220017464653
AL,Alabama,Grade 4,Grade 5,14,0.999763716282583,0.9997066183449823,1.0040835011902582,0.0034739280419147645,0.9881252431618655,1.0159998516815603
AL,Alabama,Grade 5,Grade 6,14,0.9983800362961908,0.9983192682624772,1.0076774447275276,0.006713793524816436,0.9849189392987306,1.022880924687409
AL,Alabama,Grade 6,Grade 7,14,1.006482547337869,1.00622556826408,1.0097542774905388,0.0038508726579669084,0.9968632593747785,1.0173618862805036
AL,Alabama,Grade 7,Grade 8,14,0.9953238791114374,0.9918401450640878,1.0009790618183068,0.00641499313136662,0.977667870767361,1.0043763285283032
AL,Alabama,Grade 8,Grade 9,14,1.0532988964941095,1.053771149985661,1.0457698143197747,0.01174192832276455,1.0290958241445542,1.097988672032546
AL,Alabama,Grade 9,Grade 10,14,0.9319167557849359,0.920153377692568,0.9517242581679974,0.018378629263182067,0.8928850914317655,0.9629002728937096
AL,Alabama,Grade 10,Grade 11,14,0.9360678704847498,0.9288614990025649,0.9480096894320112,0.013484600723319584,0.8810110332384984,0.9595156533367528
AL,Alabama,Grade 11,Grade 12,14,0.9701350806650537,0.9703863315663018,0.9647997032640949,0.005850814343629496,0.9528116700665871,0.9904380565349907
AR,Arkansas,Grade 1,Grade 2,14,0.9790050405267776,0.9789516567083107,0.989859339221459,0.005494769151655976,0.9722333360006401,1.0054684857368361
AR,Arkansas,Grade 2,Grade 3,14,0.9932045057392487,0.9920706666322288,0.9998314180551263,0.0037828963504465962,0.9800616875963869,1.0105373184925701
AR,Arkansas,Grade 3,Grade 4,14,1.000909138207407,1.0007807054231144,1.0013076881163843,0.002277836289302726,0.9821097746439928,1.0112125895742587
AR,Arkansas,Grade 4,Grade 5,14,1.000598431348811,1.0001660210293304,1.0037554215592934,0.0032602947011617367,0.9858790879904228,1.010921310557267
AR,Arkansas,Grade 5,Grade 6,14,1.0020237076190261,1.0018020801153331,1.0022453351227192,0.004366909313468448,0.9917531748959266,1.0129866495004058
AR,Arkansas,Grade 6,Grade 7,14,1.007743878373307,1.0075471698113208,1.0079405869352933,0.0028634330693347865,0.9987382190863676,1.0177051692526613
AR,Arkansas,Grade 7,Grade 8,14,1.001279477857,1.0016294606485254,1.0009294950654748,0.002166510323455051,0.9938911815812337,1.008016400767472
AR,Arkansas,Grade 8,Grade 9,14,1.0400068502627613,1.0391790033078467,1.0387550255723,0.005480744709379093,1.0222052276513807,1.0612936954248735
AR,Arkansas,Grade 9,Grade 10,14,0.9685776374177897,0.9680632951319524,0.9742835955294242,0.0069791155865222,0.9393971668974331,0.9777523789272234
AR,Arkansas,Grade 10,Grade 11,14,0.948508442119129,0.9416138502483058,0.9606110854377905,0.012220136794069636,0.9083479764594315,0.9663563208920382
AR,Arkansas,Grade 11,Grade 12,14,0.9434111637673824,0.943646376642676,0.944612428292876,0.004956753354454668,0.9135385534967125,0.956449148225706
AZ,Arizona,Grade 1,Grade 2,14,0.992454821873223,0.9923676480791914,1.00951250015791,0.011552354027801803,0.9661397085566036,1.0235275088959117
AZ,Arizona,Grade 2,Grade 3,14,1.0025154779537786,1.000477082165476,1.014266014180589,0.011144920194709362,0.9734603482798374,1.0307555243245956
AZ,Arizona,Grade 3,Grade 4,14,1.0041098175986243,1.0041414310679146,1.0091654723048573,0.006085545263104342,0.9748532101260949,1.022812835024558
AZ,Arizona,Grade 4,Grade 5,14,1.0070236944906998,1.006382772569823,1.0132441178841658,0.008299891116048008,0.9838047499701635,1.0262274443978179
AZ,Arizona,Grade 5,Grade 6,14,1.0052004492990678,1.0048379526554583,1.0128017718715394,0.008586757916534016,0.9805980836771576,1.0197978964734997
AZ,Arizona,Grade 6,Grade 7,14,1.008125526478187,1.0069740598991557,1.018348623853211,0.008977930683716218,0.9865071728481456,1.0252765335039766
AZ,Arizona,Grade 7,Grade 8,14,1.0010027521139364,0.998672763908831,1.0114462128304578,0.00814937116096609,0.9827666057282145,1.0195507487520798
AZ,Arizona,Grade 8,Grade 9,14,1.014454539074245,1.0140967691922385,1.0324730260641812,0.00710685637277908,0.998468336437064,1.0439109876665675
AZ,Arizona,Grade 9,Grade 10,14,0.9831400899361871,0.9846996977572885,0.9979141835518475,0.00987013161779493,0.9576528968997149,1.0182754302147594
AZ,Arizona,Grade 10,Grade 11,14,0.960656990313568,0.9600279406982766,0.971261584892062,0.00855253113662302,0.9201542301967724,0.9782854557792354
AZ,Arizona,Grade 11,Grade 12,14,1.0836420841921275,1.0799109131403117,1.1028765550904938,0.01562076119133382,1.0417799080891437,1.12563364495504
CA,California,Grade 1,Grade 2,14,0.9970429842030348,0.9976657349430346,0.996420233463035,0.004929160067041194,0.9687628198979102,1.008180174272214
CA,California,Grade 2,Grade 3,14,1.0001625648286303,1.0004280793725016,1.0004280793725016,0.003129152418526626,0.9843730086150805,1.0057322122899677
CA,California,Grade 3,Grade 4,14,1.0011843097347501,1.001410960286844,1.0013676334554993,0.0007781916577204173,0.9842512075172479,1.0084338633313978
CA,California,Grade 4,Grade 5,14,1.0013088398220358,1.0022519797682647,1.000126867840617,0.0020897065969714967,0.9754448544397023,1.008444488329262
CA,California,Grade 5,Grade 6,14,0.9974721026768435,0.9985407365362295,0.9931205956413833,0.0027947248100553823,0.9800845999267245,1.0236986104509125
CA,California,Grade 6,Grade 7,14,1.0022149573898873,1.0031504238045097,0.9974285545984694,0.0028962289906726557,0.9866372332597498,1.0066646392913896
CA,California,Grade 7,Grade 8,14,1.0024396663325623,1.003105723466039,1.0008284129581226,0.0014734054148576314,0.9864339670268004,1.020874161745839
CA,California,Grade 8,Grade 9,14,1.0482258928436172,1.0485603590633865,1.040172441389303,0.006918883515534491,1.0288374419376924,1.0787248915479348
CA,California,Grade 9,Grade 10,14,0.9868873820479424,0.9781482137080284,0.9947766603335103,0.009779551382199936,0.9388408415203453,1.0059039932942297
CA,California,Grade 10,Grade 11,14,0.9750490944219681,0.9786271948321795,0.9729870709776939,0.007196191054401668,0.9578342240212744,0.9867152728256325
CA,California,Grade 11,Grade 12,14,1.0242126391577497,1.0236823632888483,1.0257394431569045,0.0071890999149961665,0.9781196916642648,1.0407938419647065
CO,Colorado,Grade 1,Grade 2,14,0.9988077362259098,0.999748136954235,0.9979152768512342,0.0020617291727142995,0.9653672857434417,1.0036096665646987
CO,Colorado,Grade 2,Grade 3,14,1.0036846810326807,1.0045349346343904,0.9968775918427087,0.002264435659630193,0.9719435443668993,1.0075726141078838
CO,Colorado,Grade 3,Grade 4,14,1.0041157399936362,1.0045014126773828,0.9969656927519209,0.0013023595691058487,0.9753245557499309,1.008075117370892
CO,Colorado,Grade 4,Grade 5,14,1.0057099171290327,1.0063015461988654,0.9965036091776232,0.0018890317738027296,0.9791301456809527,1.008522060549167
CO,Colorado,Grade 5,Grade 6,14,1.004802279466504,1.0060687193217315,0.9969191879295363,0.002615085013388918,0.982592722183345,1.0106443928474504
CO,Colorado,Grade 6,Grade 7,14,1.0043786309419702,1.0055858987090367,0.9972076139060827,0.002118335635037716,0.985660989918551,1.0114589866594341
CO,Colorado,Grade 7,Grade 8,14,1.0023740632962057,1.0026622804042598,0.9961095898609926,0.0017453675157320658,0.9894685838879309,1.004814064380494
CO,Colorado,Grade 8,Grade 9,14,1.0391166546996535,1.0405891025247251,1.0329383676717658,0.005341818736028792,1.0196278468280768,1.0914817904755418
