"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGE","TOT_POP","TOT_MALE","TOT_FEMALE"
050,09,110,"Connecticut","Capitol Planning Region",1,0,9516,4879,4637
050,09,110,"Connecticut","Capitol Planning Region",1,1,9728,5055,4673
050,09,110,"Connecticut","Capitol Planning Region",1,2,10007,5126,4881
050,09,110,"Connecticut","Capitol Planning Region",1,3,10083,5090,4993
050,09,110,"Connecticut","Capitol Planning Region",1,4,10199,5175,5024
050,09,110,"Connecticut","Capitol Planning Region",1,5,10504,5370,5134
050,09,110,"Connecticut","Capitol Planning Region",1,6,10356,5278,5078
050,09,110,"Connecticut","Capitol Planning Region",1,7,10599,5428,5171
050,09,110,"Connecticut","Capitol Planning Region",1,8,10715,5492,5223
050,09,110,"Connecticut","Capitol Planning Region",1,9,10908,5538,5370
050,09,110,"Connecticut","Capitol Planning Region",1,10,11324,5689,5635
050,09,110,"Connecticut","Capitol Planning Region",1,11,11656,5846,5810
050,09,110,"Connecticut","Capitol Planning Region",1,12,11741,5862,5879
050,09,110,"Connecticut","Capitol Planning Region",1,13,12014,6121,5893
050,09,110,"Connecticut","Capitol Planning Region",1,14,12136,6179,5957
050,09,110,"Connecticut","Capitol Planning Region",1,15,12205,6251,5954
050,09,110,"Connecticut","Capitol Planning Region",1,16,12534,6468,6066
050,09,110,"Connecticut","Capitol Planning Region",1,17,12474,6397,6077
050,09,110,"Connecticut","Capitol Planning Region",1,18,14157,7050,7107
050,09,110,"Connecticut","Capitol Planning Region",1,19,15721,7948,7773
050,09,110,"Connecticut","Capitol Planning Region",1,20,15385,7848,7537
050,09,110,"Connecticut","Capitol Planning Region",1,21,14814,7493,7321
050,09,110,"Connecticut","Capitol Planning Region",1,22,13229,6728,6501
050,09,110,"Connecticut","Capitol Planning Region",1,23,12148,6255,5893
050,09,110,"Connecticut","Capitol Planning Region",1,24,12004,6183,5821
050,09,110,"Connecticut","Capitol Planning Region",1,25,12074,6217,5857
050,09,110,"Connecticut","Capitol Planning Region",1,26,12211,6239,5972
050,09,110,"Connecticut","Capitol Planning Region",1,27,12562,6370,6192
050,09,110,"Connecticut","Capitol Planning Region",1,28,12619,6275,6344
050,09,110,"Connecticut","Capitol Planning Region",1,29,13171,6596,6575
050,09,110,"Connecticut","Capitol Planning Region",1,30,13229,6649,6580
050,09,110,"Connecticut","Capitol Planning Region",1,31,12860,6306,6554
050,09,110,"Connecticut","Capitol Planning Region",1,32,13082,6456,6626
050,09,110,"Connecticut","Capitol Planning Region",1,33,12677,6256,6421
050,09,110,"Connecticut","Capitol Planning Region",1,34,12972,6460,6512
050,09,110,"Connecticut","Capitol Planning Region",1,35,12626,6260,6366
050,09,110,"Connecticut","Capitol Planning Region",1,36,12519,6164,6355
050,09,110,"Connecticut","Capitol Planning Region",1,37,12211,5992,6219
050,09,110,"Connecticut","Capitol Planning Region",1,38,12349,6024,6325
050,09,110,"Connecticut","Capitol Planning Region",1,39,12221,6018,6203
050,09,110,"Connecticut","Capitol Planning Region",1,40,11912,5786,6126
050,09,110,"Connecticut","Capitol Planning Region",1,41,11410,5612,5798
