rank,metro,state,cbsa_code,latitude,longitude,population,population_m,opportunity_score,career_score,affordability_score,education_score,momentum_score,connectivity_score,income_score,resident_employment_growth_pct,employment_population_ratio_pct,median_worker_earnings,median_gross_rent,earnings_after_rent,rent_to_earnings_pct,bachelor_share_pct,population_growth_pct,broadband_subscription_pct,profile,headline
26,Miami,FL,33100,25.7617,-80.1918,6457988,6.458,49.6,70.1,0.0,40.4,100.0,55.3,4.3,4.88,61.77,42132,2083,17136,59.3,38.69,4.44,94.56,mixed,"Population Momentum and career strength stand out, while affordability remains the main constraint."
27,Portland,OR,38900,45.5152,-122.6784,2537070,2.537,47.6,35.5,42.2,74.5,25.5,76.6,78.7,0.38,63.79,53466,1767,32262,39.7,43.5,1.08,95.18,mixed,"Digital Access and education depth stand out, while population momentum remains the main constraint."
28,Louisville,KY,31140,38.2527,-85.7585,1396762,1.397,47.5,55.5,68.3,6.4,74.5,12.8,17.0,2.55,61.21,46241,1140,32561,29.6,33.41,2.35,92.74,mixed,"Population Momentum and affordability stand out, while education depth remains the main constraint."
29,Providence,RI,39300,41.824,-71.4128,1700901,1.701,46.1,62.4,63.4,19.1,38.3,19.1,53.2,3.08,62.2,50096,1396,33344,33.4,36.47,1.38,93.48,mixed,"Affordability and career strength stand out, while education depth remains the main constraint."
30,Phoenix,AZ,38060,33.4484,-112.074,5186958,5.187,44.9,62.7,18.4,23.4,72.3,59.6,44.7,3.15,61.86,49413,1819,27585,44.2,36.95,2.3,94.62,under pressure,"Population Momentum and career strength stand out, while affordability remains the main constraint."
31,St. Louis,MO,41180,38.627,-90.1994,2809527,2.81,44.6,28.0,89.7,46.8,8.5,31.9,55.3,-0.09,63.0,50104,1154,36256,27.6,39.47,0.5,93.85,under pressure,"Affordability and education depth stand out, while population momentum remains the main constraint."
32,Cincinnati,OH,17140,39.1031,-84.512,2304804,2.305,43.3,34.7,76.7,27.7,40.4,21.3,36.2,1.0,62.93,48225,1203,33789,29.9,37.12,1.4,93.56,under pressure,"Affordability and population momentum stand out, while digital access remains the main constraint."
33,Richmond,VA,40060,37.5407,-77.436,1368219,1.368,42.0,38.4,47.3,63.8,31.9,10.6,57.4,1.21,62.74,50163,1546,31611,37.0,42.9,1.34,92.65,under pressure,"Education Depth and affordability stand out, while digital access remains the main constraint."
34,Tampa,FL,45300,27.9506,-82.4572,3424560,3.425,40.3,55.1,11.8,21.3,76.6,51.1,23.4,4.08,59.54,46441,1776,25129,45.9,36.53,2.44,94.38,under pressure,"Population Momentum and career strength stand out, while affordability remains the main constraint."
35,Las Vegas,NV,29820,36.1699,-115.1398,2398871,2.399,40.2,57.6,6.2,0.0,83.0,89.4,6.4,3.43,60.73,42319,1739,21451,49.3,28.19,2.67,95.67,under pressure,"Digital Access and population momentum stand out, while education depth remains the main constraint."
36,Oklahoma City,OK,36420,35.4676,-97.5164,1497821,1.498,37.3,41.7,53.2,12.8,34.0,38.3,12.8,1.89,61.18,43588,1162,29644,32.0,35.33,1.35,93.92,under pressure,"Affordability and career strength stand out, while education depth remains the main constraint."
37,Cleveland,OH,17410,41.4993,-81.6944,2171877,2.172,36.5,45.7,73.7,10.6,10.6,6.4,19.1,1.91,61.49,46328,1087,33284,28.2,34.75,0.6,92.2,under pressure,"Affordability and career strength stand out, while digital access remains the main constraint."
38,Pittsburgh,PA,38300,40.4406,-79.9959,2429917,2.43,35.8,9.0,91.8,48.9,2.1,0.0,42.6,0.18,60.13,49330,1083,36334,26.3,39.76,0.3,91.85,under pressure,"Affordability and education depth stand out, while digital access remains the main constraint."
39,San Diego,CA,41740,32.7157,-117.1611,3298799,3.299,35.2,15.9,6.6,80.9,19.1,97.9,76.6,0.77,60.27,52883,2336,24851,53.0,45.25,0.88,96.17,under pressure,"Digital Access and education depth stand out, while affordability remains the main constraint."
40,San Antonio,TX,41700,29.4241,-98.4936,2763006,2.763,32.6,44.9,19.3,4.3,66.0,36.2,0.0,2.25,60.51,42014,1422,24950,40.6,32.82,2.18,93.9,under pressure,"Population Momentum and career strength stand out, while education depth remains the main constraint."
41,Sacramento,CA,40900,38.5816,-121.4944,2463127,2.463,32.5,16.2,22.1,34.0,55.3,70.2,70.2,1.05,58.98,51560,1904,28712,44.3,38.25,1.76,95.04,under pressure,"Digital Access and population momentum stand out, while career strength remains the main constraint."
42,Birmingham,AL,13820,33.5186,-86.8104,1192583,1.193,32.3,36.6,58.1,17.0,12.8,14.9,25.5,1.98,59.52,46976,1262,31832,32.2,35.88,0.7,93.12,under pressure,"Affordability and career strength stand out, while population momentum remains the main constraint."
43,Buffalo,NY,15380,42.8864,-78.8784,1160172,1.16,32.1,12.8,79.8,36.2,4.3,4.3,29.8,0.49,59.89,47195,1114,33827,28.3,38.27,0.4,92.0,under pressure,"Affordability and education depth stand out, while population momentum remains the main constraint."
44,Los Angeles,CA,31080,34.0522,-118.2437,12927614,12.928,32.0,36.0,4.5,42.6,23.4,80.9,34.0,1.58,61.81,47703,2114,22335,53.2,39.04,1.0,95.4,under pressure,"Digital Access and education depth stand out, while affordability remains the main constraint."
45,Detroit,MI,19820,42.3314,-83.0458,4400578,4.401,29.8,12.2,61.2,14.9,29.8,34.0,27.7,0.9,59.47,47043,1248,32067,31.8,35.58,1.34,93.88,under pressure,"Affordability and digital access stand out, while career strength remains the main constraint."
46,New Orleans,LA,35380,29.9511,-90.0715,966230,0.966,23.0,35.9,37.3,8.5,6.4,2.1,2.1,2.03,59.25,42127,1262,26983,35.9,34.22,0.42,91.9,under pressure,"Affordability and career strength stand out, while digital access remains the main constraint."
47,Virginia Beach,VA,47260,36.8529,-75.978,1796689,1.797,18.3,3.5,30.3,25.5,14.9,23.4,31.9,0.23,57.6,47202,1556,28530,39.6,36.96,0.84,93.56,under pressure,"Affordability and education depth stand out, while career strength remains the main constraint."
48,Memphis,TN,32820,35.1495,-90.049,1337653,1.338,17.8,29.0,31.2,2.1,0.0,8.5,10.6,1.36,61.01,42771,1330,26811,37.3,31.94,0.16,92.37,under pressure,"Affordability and career strength stand out, while population momentum remains the main constraint."
