model,observations,mean_absolute_error,weighted_absolute_percentage_error,weighted_bias
naive_prediction,5027,1749.9737417943106,0.023738692767634857,0.002302641201096439
five_year_median_prediction,5027,659.1221257211059,0.008941104237827369,-0.00045806566654451637
all_history_median_prediction,5027,769.1342697433857,0.0104334377656299,-0.0017540045344963337
