major_4digit,major_name,count_2013,count_2023,gross_change,pct_change,low_base_flag
0499,"Architecture and Related Services, Other",411.0,206.0,-205.0,-49.87834549878345,False
0303,Fishing and Fisheries Sciences and Management,410.0,505.0,95.0,23.170731707317074,False
0112,Soil Sciences,395.0,432.0,37.0,9.367088607594937,False
3199,"Parks, Recreation, Leisure, Fitness, and Kinesiology, Other",395.0,232.0,-163.0,-41.265822784810126,False
5136,Movement and Mind-Body Therapies and Education,374.0,468.0,94.0,25.13368983957219,False
1099,"Communications Technologies/Technicians and Support Services, Other",368.0,188.0,-180.0,-48.91304347826087,False
4503,Archeology,358.0,339.0,-19.0,-5.307262569832402,False
1514,Nuclear Engineering Technology/Technician,356.0,261.0,-95.0,-26.685393258426966,False
0113,Agriculture/Veterinary Preparatory Programs,355.0,486.0,131.0,36.901408450704224,False
1421,Mining and Mineral Engineering,345.0,300.0,-45.0,-13.043478260869565,False
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",335.0,670.0,335.0,100.0,False
1424,Ocean Engineering,313.0,290.0,-23.0,-7.348242811501597,False
1428,Textile Sciences and Engineering,307.0,292.0,-15.0,-4.88599348534202,False
1307,International and Comparative Education,300.0,317.0,17.0,5.666666666666666,False
3022,Classical and Ancient Studies,295.0,290.0,-5.0,-1.694915254237288,False
0399,"Natural Resources and Conservation, Other",289.0,150.0,-139.0,-48.09688581314879,False
1411,Engineering Mechanics,270.0,209.0,-61.0,-22.59259259259259,False
1432,Polymer/Plastics Engineering,269.0,290.0,21.0,7.806691449814126,False
2799,"Mathematics and Statistics, Other",267.0,671.0,404.0,151.31086142322096,False
3008,Mathematics and Computer Science,254.0,1489.0,1235.0,486.2204724409449,False
0410,Real Estate Development,236.0,549.0,313.0,132.6271186440678,False
4803,Leatherworking and Upholstery,224.0,20.0,-204.0,-91.07142857142857,False
5002,"Crafts/Craft Design, Folk Art and Artisanry",219.0,102.0,-117.0,-53.42465753424658,False
1445,Biological/Biosystems Engineering,209.0,411.0,202.0,96.65071770334929,False
2599,"Library Science, Other",202.0,131.0,-71.0,-35.148514851485146,False
1900,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,199.0,0.0,-199.0,-100.0,False
0910,Publishing,185.0,371.0,186.0,100.54054054054053,False
3031,Human Computer Interaction,172.0,2324.0,2152.0,1251.1627906976744,False
3010,Biopsychology,171.0,204.0,33.0,19.298245614035086,False
1420,Metallurgical Engineering,165.0,195.0,30.0,18.181818181818183,False
3106,Outdoor Education,165.0,277.0,112.0,67.87878787878789,False
3026,Cultural Studies/Critical Theory and Analysis,154.0,340.0,186.0,120.7792207792208,False
4899,"Precision Production, Other",147.0,104.0,-43.0,-29.25170068027211,False
1442,"Mechatronics, Robotics, and Automation Engineering",144.0,1759.0,1615.0,1121.5277777777778,False
3013,Medieval and Renaissance Studies,143.0,105.0,-38.0,-26.573426573426573,False
4700,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS,136.0,353.0,217.0,159.55882352941177,False
1999,"Family and Consumer Sciences/Human Sciences, Other",133.0,142.0,9.0,6.7669172932330826,False
0104,Agricultural and Food Products Processing,126.0,198.0,72.0,57.14285714285714,False
0408,"Architectural History, Criticism, and Conservation",123.0,158.0,35.0,28.455284552845526,False
2903,Military Applied Sciences,106.0,251.0,145.0,136.7924528301887,False
1406,Ceramic Sciences and Engineering,104.0,60.0,-44.0,-42.30769230769231,False
3032,Marine Sciences,100.0,414.0,314.0,314.0,False
5134,Alternative and Complementary Medical Support Services,98.0,136.0,38.0,38.775510204081634,False
2904,Military Systems and Maintenance Technology,97.0,188.0,91.0,93.81443298969072,False
1438,Surveying Engineering,92.0,123.0,31.0,33.69565217391305,False
0107,International Agriculture,86.0,215.0,129.0,150.0,False
5137,Energy and Biologically Based Therapies,81.0,116.0,35.0,43.20987654320987,False
3800,PHILOSOPHY AND RELIGIOUS STUDIES,80.0,181.0,101.0,126.25,False
4999,"Transportation and Materials Moving, Other",72.0,18.0,-54.0,-75.0,False
1516,Nanotechnology,67.0,105.0,38.0,56.71641791044776,False
1441,Electromechanical Engineering,63.0,47.0,-16.0,-25.396825396825395,False
4100,SCIENCE TECHNOLOGIES/TECHNICIANS,59.0,88.0,29.0,49.152542372881356,False
1443,Biochemical Engineering,58.0,141.0,83.0,143.10344827586206,False
3030,Computational Science,53.0,2149.0,2096.0,3954.7169811320755,False
