year,major_4digit,major_name,graduates,share_of_total
2013,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2755,0.0005533900918065123
2014,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2921,0.0005822079173898589
2015,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2993,0.0005922266932182624
2016,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3285,0.000646182389848032
2017,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3355,0.0006526858948644611
2018,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3457,0.0006612150060039164
2019,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3551,0.0006676385749573301
2020,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3332,0.0006273702904393061
2021,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3370,0.0006216255600624945
2022,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3151,0.0005818251917198022
2023,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3256,0.0006032236896465991
2013,3016,Accounting and Computer Science,51,1.0244244893695872e-05
2014,3016,Accounting and Computer Science,205,4.08601927644372e-05
2015,3016,Accounting and Computer Science,119,2.3546600899757173e-05
2016,3016,Accounting and Computer Science,62,1.2195832015396649e-05
2017,3016,Accounting and Computer Science,67,1.3034263772256005e-05
2018,3016,Accounting and Computer Science,45,8.607079916163216e-06
2019,3016,Accounting and Computer Science,71,1.3349011214297505e-05
2020,3016,Accounting and Computer Science,90,1.6945776152322193e-05
2021,3016,Accounting and Computer Science,48,8.85401391186936e-06
2022,3016,Accounting and Computer Science,160,2.9543646675711947e-05
2023,3016,Accounting and Computer Science,55,1.0189589352138498e-05
2013,5203,Accounting and Related Services,110838,0.022263757167205158
2014,5203,Accounting and Related Services,110284,0.021981587799186304
2015,5203,Accounting and Related Services,111891,0.022139938834241427
2016,5203,Accounting and Related Services,110127,0.0216627482638643
2017,5203,Accounting and Related Services,108487,0.021105196624787124
2018,5203,Accounting and Related Services,107851,0.02062849280084709
2019,5203,Accounting and Related Services,105123,0.01976462120958587
2020,5203,Accounting and Related Services,101094,0.01903462549269844
2021,5203,Accounting and Related Services,99265,0.018310285228369
2022,5203,Accounting and Related Services,93982,0.017353568761729752
2023,5203,Accounting and Related Services,84760,0.015703083517950165
2013,5105,Advanced/Graduate Dentistry and Oral Sciences,1434,0.0002880440623050957
2014,5105,Advanced/Graduate Dentistry and Oral Sciences,1498,0.00029857838420061915
2015,5105,Advanced/Graduate Dentistry and Oral Sciences,1574,0.0003114483177833428
2016,5105,Advanced/Graduate Dentistry and Oral Sciences,1638,0.00032220601356805983
2017,5105,Advanced/Graduate Dentistry and Oral Sciences,1662,0.0003233275580520818
2018,5105,Advanced/Graduate Dentistry and Oral Sciences,1714,0.00032783411058452786
2019,5105,Advanced/Graduate Dentistry and Oral Sciences,1685,0.00031680399853649714
2020,5105,Advanced/Graduate Dentistry and Oral Sciences,1700,0.000320086882877197
2021,5105,Advanced/Graduate Dentistry and Oral Sciences,1775,0.00032741405611600235
2022,5105,Advanced/Graduate Dentistry and Oral Sciences,1796,0.0003316274339348666
2023,5105,Advanced/Graduate Dentistry and Oral Sciences,1845,0.0003418144064490096
2013,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5267,0.0010579693697077678
2014,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5467,0.0010896715797228205
2015,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5719,0.0011316219373589183
2016,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5880,0.0011566369717827788
2017,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",6154,0.0011972068545442307
2018,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",6315,0.0012078602149015714
2019,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",7069,0.0013290726799136488
2020,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",7582,0.0014275874976322986
2021,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",8001,0.0014758534439347237
2022,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",8671,0.0016010810020318643
2023,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",9220,0.0017081457059403083
2013,1602,"African Languages, Literatures, and Linguistics",16,3.213880750963411e-06
2014,1602,"African Languages, Literatures, and Linguistics",14,2.790452188790833e-06
2015,1602,"African Languages, Literatures, and Linguistics",9,1.7808353621665088e-06
2016,1602,"African Languages, Literatures, and Linguistics",12,2.360483615883222e-06
2017,1602,"African Languages, Literatures, and Linguistics",9,1.7508712529896127e-06
2018,1602,"African Languages, Literatures, and Linguistics",10,1.912684425814048e-06
2019,1602,"African Languages, Literatures, and Linguistics",12,2.2561709094587335e-06
2020,1602,"African Languages, Literatures, and Linguistics",3,5.648592050774064e-07
2021,1602,"African Languages, Literatures, and Linguistics",4,7.378344926557799e-07
2022,1602,"African Languages, Literatures, and Linguistics",3,5.53943375169599e-07
2023,1602,"African Languages, Literatures, and Linguistics",8,1.4821220875837816e-06
2013,0101,Agricultural Business and Management,7233,0.001452874966982397
2014,0101,Agricultural Business and Management,7467,0.0014883076066929395
2015,0101,Agricultural Business and Management,7948,0.0015726754953888237
2016,0101,Agricultural Business and Management,8120,0.0015972605800809803
2017,0101,Agricultural Business and Management,8474,0.0016485425553148863
2018,0101,Agricultural Business and Management,8521,0.0016297983992361504
2019,0101,Agricultural Business and Management,8910,0.0016752069002731096
2020,0101,Agricultural Business and Management,8504,0.0016011875599927547
2021,0101,Agricultural Business and Management,8098,0.0014937459303816264
2022,0101,Agricultural Business and Management,8140,0.0015030330246268452
2023,0101,Agricultural Business and Management,8085,0.0014978696347643593
2013,1403,Agricultural Engineering,1410,0.0002832232411786506
2014,1403,Agricultural Engineering,1432,0.00028542339531060525
2015,1403,Agricultural Engineering,1441,0.0002851315285424377
2016,1403,Agricultural Engineering,1558,0.00030646945612883834
2017,1403,Agricultural Engineering,1536,0.0002988153605102272
2018,1403,Agricultural Engineering,1546,0.00029570101223085185
2019,1403,Agricultural Engineering,1554,0.00029217413277490595
2020,1403,Agricultural Engineering,1564,0.0002944799322470212
2021,1403,Agricultural Engineering,1472,0.000271523093297327
2022,1403,Agricultural Engineering,1382,0.00025518324816146195
2023,1403,Agricultural Engineering,1328,0.00024603226653890773
2013,0102,Agricultural Mechanization,1170,0.00023501502991419944
2014,0102,Agricultural Mechanization,1330,0.00026509295793512914
2015,0102,Agricultural Mechanization,1522,0.0003011590468019363
2016,0102,Agricultural Mechanization,1431,0.00028148767119407425
2017,0102,Agricultural Mechanization,1507,0.000293173664250594
2018,0102,Agricultural Mechanization,1449,0.0002771479733004556
2019,0102,Agricultural Mechanization,1537,0.00028897789065317274
2020,0102,Agricultural Mechanization,1550,0.00029184392262332666
2021,0102,Agricultural Mechanization,1280,0.00023610703764984957
2022,0102,Agricultural Mechanization,1376,0.00025407536141112275
2023,0102,Agricultural Mechanization,1402,0.0002597418958490577
2013,0103,Agricultural Production Operations,1875,0.0003766266505035247
2014,0103,Agricultural Production Operations,2342,0.0004668027875820094
2015,0103,Agricultural Production Operations,2629,0.0005202017963484169
2016,0103,Agricultural Production Operations,2730,0.000537010022613433
2017,0103,Agricultural Production Operations,2814,0.0005474390784347522
2018,0103,Agricultural Production Operations,2926,0.0005596514629931904
2019,0103,Agricultural Production Operations,3176,0.0005971332340367448
2020,0103,Agricultural Production Operations,3610,0.0006797139101098124
2021,0103,Agricultural Production Operations,3066,0.0005655501386206553
2022,0103,Agricultural Production Operations,3124,0.0005768397013432758
2023,0103,Agricultural Production Operations,3522,0.0006525042490587599
2013,0108,Agricultural Public Services,582,0.00011690491231629408
2014,0108,Agricultural Public Services,624,0.00012437444041467715
2015,0108,Agricultural Public Services,672,0.00013296904037509932
2016,0108,Agricultural Public Services,686,0.0001349409800413242
2017,0108,Agricultural Public Services,720,0.00014006970023916902
2018,0108,Agricultural Public Services,725,0.0001386696208715185
2019,0108,Agricultural Public Services,774,0.0001455230236600883
2020,0108,Agricultural Public Services,823,0.00015495970859290183
2021,0108,Agricultural Public Services,845,0.0001558675365735335
2022,0108,Agricultural Public Services,867,0.0001600896354240141
2023,0108,Agricultural Public Services,866,0.00016043971598094436
2013,0105,Agricultural and Domestic Animal Services,1021,0.00020508576542085265
2014,0105,Agricultural and Domestic Animal Services,1061,0.00021147641230764814
2015,0105,Agricultural and Domestic Animal Services,1055,0.0002087534785650741
2016,0105,Agricultural and Domestic Animal Services,1074,0.0002112632836215484
2017,0105,Agricultural and Domestic Animal Services,1340,0.0002606852754451201
2018,0105,Agricultural and Domestic Animal Services,1166,0.000223019004049918
2019,0105,Agricultural and Domestic Animal Services,1070,0.00020117523942673706
2020,0105,Agricultural and Domestic Animal Services,1058,0.000199207012990632
2021,0105,Agricultural and Domestic Animal Services,990,0.00018261403693230552
2022,0105,Agricultural and Domestic Animal Services,979,0.00018077018809701249
2023,0105,Agricultural and Domestic Animal Services,1217,0.00022546782257368278
2013,0104,Agricultural and Food Products Processing,153,3.073273468108762e-05
2014,0104,Agricultural and Food Products Processing,138,2.7505885860938212e-05
2015,0104,Agricultural and Food Products Processing,159,3.1461424731608326e-05
2016,0104,Agricultural and Food Products Processing,149,2.930933823055001e-05
2017,0104,Agricultural and Food Products Processing,191,3.7157378813446225e-05
2018,0104,Agricultural and Food Products Processing,226,4.3226668023397486e-05
2019,0104,Agricultural and Food Products Processing,244,4.587547515899425e-05
2020,0104,Agricultural and Food Products Processing,251,4.725988682480967e-05
2021,0104,Agricultural and Food Products Processing,237,4.371669368985496e-05
2022,0104,Agricultural and Food Products Processing,190,3.5083080427407934e-05
2023,0104,Agricultural and Food Products Processing,198,3.6682521667698594e-05
2013,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",335,6.729062822329642e-05
2014,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",348,6.936266869280071e-05
2015,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",366,7.242063806143802e-05
2016,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",495,9.736994915518291e-05
2017,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",486,9.454704766143909e-05
2018,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",530,0.00010137227456814455
2019,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",551,0.00010359584759264684
2020,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",600,0.00011297184101548128
2021,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",602,0.00011104409114469488
2022,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",675,0.00012463725941315977
2023,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",700,0.0001296856826635809
2013,0113,Agriculture/Veterinary Preparatory Programs,355,7.130797916200068e-05
2014,0113,Agriculture/Veterinary Preparatory Programs,374,7.454493704341226e-05
2015,0113,Agriculture/Veterinary Preparatory Programs,445,8.805241512934406e-05
2016,0113,Agriculture/Veterinary Preparatory Programs,513,0.00010091067457900775
2017,0113,Agriculture/Veterinary Preparatory Programs,617,0.00012003195145495455
2018,0113,Agriculture/Veterinary Preparatory Programs,610,0.00011667374997465693
2019,0113,Agriculture/Veterinary Preparatory Programs,575,0.0001081081894115643
2020,0113,Agriculture/Veterinary Preparatory Programs,620,0.00011673756904933066
2021,0113,Agriculture/Veterinary Preparatory Programs,527,9.720969440739901e-05
2022,0113,Agriculture/Veterinary Preparatory Programs,471,8.696910990162704e-05
2023,0113,Agriculture/Veterinary Preparatory Programs,486,9.003891682071473e-05
2013,4901,Air Transportation,9314,0.0018708803321545757
2014,4901,Air Transportation,9531,0.0018996999865261023
2015,4901,Air Transportation,7917,0.001566541506919139
2016,4901,Air Transportation,7677,0.0015101193932612915
2017,4901,Air Transportation,7856,0.0015283160626095996
2018,4901,Air Transportation,7977,0.001525748366471866
2019,4901,Air Transportation,8449,0.001588532334501403
2020,4901,Air Transportation,8490,0.0015985515503690601
2021,4901,Air Transportation,9984,0.0018416348936688266
2022,4901,Air Transportation,10326,0.0019066730973337598
2023,4901,Air Transportation,10445,0.0019350956506015747
2013,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",83235,0.01671921026915247
2014,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",83433,0.01662969981909897
2015,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",81804,0.01618660621851879
2016,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",83306,0.01638687067539731
2017,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",83828,0.016308003932845917
2018,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",86125,0.01647299461732349
2019,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",86697,0.016300270778111983
2020,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",81167,0.015282642366172616
2021,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",82308,0.015182420355377983
2022,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",83905,0.015492872964535068
2023,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",85413,0.01582406173334919
2013,5108,Allied Health and Medical Assisting Services,149072,0.0299437269567261
2014,5108,Allied Health and Medical Assisting Services,132765,0.026462456060343927
2015,5108,Allied Health and Medical Assisting Services,121189,0.02397973963395523
2016,5108,Allied Health and Medical Assisting Services,111879,0.02200737887178325
2017,5108,Allied Health and Medical Assisting Services,101414,0.01972920636118762
2018,5108,Allied Health and Medical Assisting Services,95701,0.01830458122348302
2019,5108,Allied Health and Medical Assisting Services,90368,0.016990471062163903
2020,5108,Allied Health and Medical Assisting Services,77593,0.014609706766523732
2021,5108,Allied Health and Medical Assisting Services,84492,0.01558527798836804
2022,5108,Allied Health and Medical Assisting Services,83587,0.01543415496676709
2023,5108,Allied Health and Medical Assisting Services,79189,0.01467097074920901
2013,5134,Alternative and Complementary Medical Support Services,98,1.968501959965089e-05
2014,5134,Alternative and Complementary Medical Support Services,97,1.9333847308050775e-05
2015,5134,Alternative and Complementary Medical Support Services,77,1.5236035876313465e-05
2016,5134,Alternative and Complementary Medical Support Services,166,3.265335668638457e-05
2017,5134,Alternative and Complementary Medical Support Services,206,4.0075497568428915e-05
2018,5134,Alternative and Complementary Medical Support Services,244,4.6669499989862775e-05
2019,5134,Alternative and Complementary Medical Support Services,191,3.591072030888484e-05
2020,5134,Alternative and Complementary Medical Support Services,192,3.615098912495401e-05
2021,5134,Alternative and Complementary Medical Support Services,227,4.187210745821551e-05
2022,5134,Alternative and Complementary Medical Support Services,140,2.5850690841247952e-05
2023,5134,Alternative and Complementary Medical Support Services,136,2.5196075488924286e-05
2013,5133,Alternative and Complementary Medicine and Medical Systems,3050,0.0006126460181524003
2014,5133,Alternative and Complementary Medicine and Medical Systems,3234,0.0006445944556106825
2015,5133,Alternative and Complementary Medicine and Medical Systems,3366,0.0006660324254502743
2016,5133,Alternative and Complementary Medicine and Medical Systems,3364,0.0006617222403192633
2017,5133,Alternative and Complementary Medicine and Medical Systems,3376,0.000656771261121437
2018,5133,Alternative and Complementary Medicine and Medical Systems,3481,0.0006658054486258702
2019,5133,Alternative and Complementary Medicine and Medical Systems,3576,0.0006723389310187025
2020,5133,Alternative and Complementary Medicine and Medical Systems,3308,0.0006228514167986868
2021,5133,Alternative and Complementary Medicine and Medical Systems,3564,0.0006574105329563
2022,5133,Alternative and Complementary Medicine and Medical Systems,3434,0.0006340805167774677
2023,5133,Alternative and Complementary Medicine and Medical Systems,3431,0.0006356451103124943
2013,1610,"American Indian/Native American Languages, Literatures, and Linguistics",19,3.81648339176905e-06
2014,1610,"American Indian/Native American Languages, Literatures, and Linguistics",25,4.982950337126488e-06
2015,1610,"American Indian/Native American Languages, Literatures, and Linguistics",35,6.925470852869757e-06
2016,1610,"American Indian/Native American Languages, Literatures, and Linguistics",44,8.655106591571814e-06
2017,1610,"American Indian/Native American Languages, Literatures, and Linguistics",15,2.918118754982688e-06
2018,1610,"American Indian/Native American Languages, Literatures, and Linguistics",45,8.607079916163216e-06
2019,1610,"American Indian/Native American Languages, Literatures, and Linguistics",37,6.956526970831095e-06
2020,1610,"American Indian/Native American Languages, Literatures, and Linguistics",43,8.09631527277616e-06
2021,1610,"American Indian/Native American Languages, Literatures, and Linguistics",16,2.9513379706231197e-06
2022,1610,"American Indian/Native American Languages, Literatures, and Linguistics",48,8.863094002713584e-06
2023,1610,"American Indian/Native American Languages, Literatures, and Linguistics",48,8.89273252550269e-06
2013,1616,American Sign Language,2252,0.0004523537156981001
2014,1616,American Sign Language,2311,0.00046062392916397255
2015,1616,American Sign Language,2481,0.0004909169481705677
2016,1616,American Sign Language,2475,0.0004868497457759146
2017,1616,American Sign Language,2475,0.00048148959457214346
2018,1616,American Sign Language,2660,0.0005087740572665368
2019,1616,American Sign Language,2762,0.0005192953376604184
2020,1616,American Sign Language,2737,0.0005153398814322872
2021,1616,American Sign Language,2724,0.0005024652894985861
2022,1616,American Sign Language,2671,0.0004931942516926664
2023,1616,American Sign Language,2341,0.0004337059758792041
2013,0109,Animal Sciences,6342,0.0012739019826631221
2014,0109,Animal Sciences,6527,0.0013009486740169834
2015,0109,Animal Sciences,6942,0.001373617676017767
2016,0109,Animal Sciences,7094,0.0013954392309229648
2017,0109,Animal Sciences,7148,0.0013905808573744169
2018,0109,Animal Sciences,7549,0.001443885473047025
2019,0109,Animal Sciences,7814,0.0014691432905425451
2020,0109,Animal Sciences,8086,0.0015224838440853028
2021,0109,Animal Sciences,8294,0.0015298998205217596
2022,0109,Animal Sciences,8178,0.0015100496407123268
2023,0109,Animal Sciences,8396,0.0015554871309191789
2013,4502,Anthropology,14488,0.0029101690199973686
2014,4502,Anthropology,14399,0.002869980076171372
2015,4502,Anthropology,13258,0.002623368359067064
2016,4502,Anthropology,12476,0.00245411613264659
2017,4502,Anthropology,11701,0.0022763271701368285
2018,4502,Anthropology,12008,0.0022967514585175088
2019,4502,Anthropology,11703,0.0022003306794496297
2020,4502,Anthropology,12008,0.0022609431115231653
2021,4502,Anthropology,11415,0.002105595183416432
2022,4502,Anthropology,11105,0.002050513727086132
2023,4502,Anthropology,10899,0.0020192060790719542
2020,3034,Anthrozoology,9,1.6945776152322192e-06
2021,3034,Anthrozoology,13,2.397962101131285e-06
2022,3034,Anthrozoology,22,4.062251417910393e-06
2023,3034,Anthrozoology,47,8.707467264554718e-06
2013,1909,Apparel and Textiles,3032,0.0006090304023075664
2014,1909,Apparel and Textiles,3136,0.0006250612902891467
2015,1909,Apparel and Textiles,3143,0.0006219072825877042
2016,1909,Apparel and Textiles,3174,0.0006243479164011123
2017,1909,Apparel and Textiles,3346,0.0006509350236114716
2018,1909,Apparel and Textiles,3471,0.0006638927642000561
2019,1909,Apparel and Textiles,3476,0.0006535375067732131
2020,1909,Apparel and Textiles,3436,0.0006469520762153228
2021,1909,Apparel and Textiles,3313,0.0006111114185421497
2022,1909,Apparel and Textiles,3136,0.0005790554748439542
2023,1909,Apparel and Textiles,2961,0.0005485704376669471
2013,0106,Applied Horticulture and Horticultural Business Services,4475,0.000898882272535079
2014,0106,Applied Horticulture and Horticultural Business Services,4037,0.0008046468204391852
2015,0106,Applied Horticulture and Horticultural Business Services,4115,0.0008142375017016871
2016,0106,Applied Horticulture and Horticultural Business Services,4262,0.0008383650975745244
2017,0106,Applied Horticulture and Horticultural Business Services,4303,0.000837111000179367
2018,0106,Applied Horticulture and Horticultural Business Services,4175,0.0007985457477773651
2019,0106,Applied Horticulture and Horticultural Business Services,4451,0.0008368513931667352
2020,0106,Applied Horticulture and Horticultural Business Services,4051,0.0007627482132561912
2021,0106,Applied Horticulture and Horticultural Business Services,3234,0.0005965391873121981
2022,0106,Applied Horticulture and Horticultural Business Services,3591,0.00066307022007801
2023,0106,Applied Horticulture and Horticultural Business Services,3932,0.0007284630060474287
2013,2703,Applied Mathematics,4207,0.0008450497699564419
2014,2703,Applied Mathematics,4459,0.0008887590221298804
2015,2703,Applied Mathematics,4879,0.0009654106368900441
2016,2703,Applied Mathematics,5634,0.0011082470576571728
2017,2703,Applied Mathematics,6928,0.0013477817823013374
2018,2703,Applied Mathematics,8560,0.001637257868496825
2019,2703,Applied Mathematics,9625,0.001809637083628359
2020,2703,Applied Mathematics,10462,0.001969852334506609
2021,2703,Applied Mathematics,11107,0.0020487819274819367
2022,2703,Applied Mathematics,10998,0.00203075641337175
2023,2703,Applied Mathematics,11635,0.0021555613111296622
2020,2706,Applied Statistics,187,3.520955711649167e-05
2021,2706,Applied Statistics,464,8.558880114807047e-05
2022,2706,Applied Statistics,549,0.00010137163765603662
2023,2706,Applied Statistics,541,0.00010022850617285323
2013,4503,Archeology,358,7.191058180280633e-05
2014,4503,Archeology,376,7.494357307038238e-05
2015,4503,Archeology,349,6.905683793290129e-05
2016,4503,Archeology,327,6.43231785328178e-05
2017,4503,Archeology,310,6.0307787602975545e-05
2018,4503,Archeology,335,6.407492826477062e-05
2019,4503,Archeology,364,6.843718425358157e-05
2020,4503,Archeology,324,6.1004794148359894e-05
2021,4503,Archeology,339,6.253147325257735e-05
2022,4503,Archeology,333,6.148771464382548e-05
2023,4503,Archeology,339,6.280492346136275e-05
2013,1404,Architectural Engineering,934,0.0001876102888374891
2014,1404,Architectural Engineering,850,0.0001694203114623006
2015,1404,Architectural Engineering,824,0.0001630453709361337
2016,1404,Architectural Engineering,934,0.0001837243081029108
2017,1404,Architectural Engineering,927,0.0001803397390579301
2018,1404,Architectural Engineering,874,0.0001671686188161478
2019,1404,Architectural Engineering,1019,0.00019158651306153745
2020,1404,Architectural Engineering,938,0.00017661264478753574
2021,1404,Architectural Engineering,1012,0.00018667212664191232
2022,1404,Architectural Engineering,1088,0.00020089679739484123
2023,1404,Architectural Engineering,1090,0.00020193913443329023
2013,1501,Architectural Engineering Technologies/Technicians,1426,0.000286437121929614
2014,1501,Architectural Engineering Technologies/Technicians,1358,0.00027067386231271085
2015,1501,Architectural Engineering Technologies/Technicians,1290,0.00025525306857719963
2016,1501,Architectural Engineering Technologies/Technicians,1275,0.00025080138418759237
2017,1501,Architectural Engineering Technologies/Technicians,1260,0.0002451219754185458
2018,1501,Architectural Engineering Technologies/Technicians,1236,0.00023640779503061635
2019,1501,Architectural Engineering Technologies/Technicians,1362,0.00025607539822356624
2020,1501,Architectural Engineering Technologies/Technicians,1336,0.00025155063266113834
2021,1501,Architectural Engineering Technologies/Technicians,1290,0.00023795162388148903
2022,1501,Architectural Engineering Technologies/Technicians,1239,0.0002287786139450444
2023,1501,Architectural Engineering Technologies/Technicians,1261,0.00023361949405539356
2013,0408,"Architectural History, Criticism, and Conservation",123,2.470670827303122e-05
2014,0408,"Architectural History, Criticism, and Conservation",137,2.7306567847453154e-05
2015,0408,"Architectural History, Criticism, and Conservation",122,2.4140212687146008e-05
2016,0408,"Architectural History, Criticism, and Conservation",109,2.1441059510939268e-05
2017,0408,"Architectural History, Criticism, and Conservation",107,2.0815913785543174e-05
2018,0408,"Architectural History, Criticism, and Conservation",120,2.2952213109768578e-05
2019,0408,"Architectural History, Criticism, and Conservation",154,2.8954193338053745e-05
2020,0408,"Architectural History, Criticism, and Conservation",160,3.0125824270795008e-05
2021,0408,"Architectural History, Criticism, and Conservation",147,2.711541760509991e-05
2022,0408,"Architectural History, Criticism, and Conservation",129,2.3819565132292756e-05
2023,0408,"Architectural History, Criticism, and Conservation",158,2.9271911229779686e-05
2013,0409,Architectural Sciences and Technology,969,0.0001946406529802216
2014,0409,Architectural Sciences and Technology,941,0.00018755825068944102
2015,0409,Architectural Sciences and Technology,1288,0.00025485732738560706
2016,0409,Architectural Sciences and Technology,1515,0.0002980110565052568
2017,0409,Architectural Sciences and Technology,2692,0.0005237050458942263
2018,0409,Architectural Sciences and Technology,3804,0.0007275851555796638
2019,0409,Architectural Sciences and Technology,5448,0.001024301592894265
2020,0409,Architectural Sciences and Technology,6631,0.0012485271296227606
2021,0409,Architectural Sciences and Technology,6781,0.0012508139236747109
2022,0409,Architectural Sciences and Technology,7632,0.0014092319464314598
2023,0409,Architectural Sciences and Technology,9033,0.0016735011021430373
2013,0402,Architecture,10790,0.0021673608314309502
2014,0402,Architecture,10580,0.0021087845826719296
2015,0402,Architecture,10480,0.0020736838439450013
2016,0402,Architecture,10082,0.0019831996512778872
2017,0402,Architecture,8668,0.0016862835578793291
2018,0402,Architecture,7514,0.0014371910775566757
2019,0402,Architecture,6145,0.0011553475198853263
2020,0402,Architecture,5051,0.0009510346149486599
2021,0402,Architecture,4982,0.0009189728606027739
2022,0402,Architecture,4814,0.0008888944693554832
2023,0402,Architecture,4794,0.0008881616609845811
2013,0499,"Architecture and Related Services, Other",411,8.255656179037262e-05
2014,0499,"Architecture and Related Services, Other",335,6.677153451749494e-05
2015,0499,"Architecture and Related Services, Other",363,7.18270262740492e-05
2016,0499,"Architecture and Related Services, Other",317,6.235610885291512e-05
2017,0499,"Architecture and Related Services, Other",257,4.999710133537005e-05
2018,0499,"Architecture and Related Services, Other",302,5.776306965958425e-05
2019,0499,"Architecture and Related Services, Other",268,5.038781697791171e-05
2020,0499,"Architecture and Related Services, Other",233,4.387073159434523e-05
2021,0499,"Architecture and Related Services, Other",202,3.726064187911689e-05
2022,0499,"Architecture and Related Services, Other",262,4.837772143147831e-05
2023,0499,"Architecture and Related Services, Other",206,3.8164643755282374e-05
2013,0501,Area Studies,8731,0.0017537745522913464
2014,0501,Area Studies,8310,0.0016563326920608446
2015,0501,Area Studies,7972,0.0015774243896879343
2016,0501,Area Studies,7705,0.001515627188365019
2017,0501,Area Studies,7224,0.0014053659923996624
2018,0501,Area Studies,7156,0.001368716975112533
2019,0501,Area Studies,7160,0.0013461819759770443
2020,0501,Area Studies,6820,0.0012841132595426373
2021,0501,Area Studies,6966,0.0012849387689600408
2022,0501,Area Studies,6257,0.0011553412328120603
2023,0501,Area Studies,6170,0.0011430866600489916
2020,0599,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",1,1.882864016924688e-07
2021,0599,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",46,8.48509666554147e-06
2022,0599,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",35,6.462672710311988e-06
2023,0599,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",62,1.1486446178774308e-05
2013,5010,"Arts, Entertainment, and Media Management",3522,0.0007074555003058208
2014,5010,"Arts, Entertainment, and Media Management",4488,0.0008945392445209471
2015,5010,"Arts, Entertainment, and Media Management",4847,0.0009590787778245631
2016,5010,"Arts, Entertainment, and Media Management",4901,0.000964060850120306
2017,5010,"Arts, Entertainment, and Media Management",4949,0.0009627846478939548
2018,5010,"Arts, Entertainment, and Media Management",4811,0.0009201924772591385
2019,5010,"Arts, Entertainment, and Media Management",4766,0.0008960758795400269
2020,5010,"Arts, Entertainment, and Media Management",5059,0.0009525409061621997
2021,5010,"Arts, Entertainment, and Media Management",4788,0.0008831878877089685
2022,5010,"Arts, Entertainment, and Media Management",4667,0.0008617512439721729
2023,5010,"Arts, Entertainment, and Media Management",4722,0.0008748225621963271
2013,4002,Astronomy and Astrophysics,770,0.00015466801114011414
2014,4002,Astronomy and Astrophysics,838,0.00016702849530047988
