path,uncompressed_size_bytes,compressed_size_bytes,is_directory
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-11.csv,47106,6278,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-12.csv,2305374,341807,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-13.csv,5245476,674590,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-15.csv,163814,23280,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-16.csv,1382899,177428,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-17.csv,3443697,437300,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-18.csv,3070109,405129,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-19.csv,3063691,387634,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-20.csv,3308577,379706,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-21.csv,4011644,484496,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-22.csv,2306529,285232,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-23.csv,532740,76000,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-24.csv,861807,123087,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-25.csv,546565,78066,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-26.csv,2851720,375880,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-27.csv,2998758,362704,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-28.csv,2916970,338417,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-29.csv,3851122,467719,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-30.csv,1828443,201535,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-31.csv,2995839,316043,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-32.csv,544224,70622,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-33.csv,384997,50557,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-34.csv,776940,117233,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-35.csv,1148623,140984,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-36.csv,2182301,312209,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-37.csv,3794175,469517,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-38.csv,1843765,181987,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-39.csv,2815754,413435,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-40.csv,2578242,315744,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-41.csv,1181466,163694,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-42.csv,2505015,331295,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-44.csv,189248,26481,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-45.csv,1779962,219264,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-46.csv,2300454,228756,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-47.csv,3282464,414411,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-48.csv,8027136,1048203,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-49.csv,894753,125123,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-50.csv,476312,61323,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-51.csv,4596575,574027,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-53.csv,1396999,185314,False
