"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGE","TOT_POP","TOT_MALE","TOT_FEMALE"
050,44,001,"Rhode Island","Bristol County",1,0,308,155,153
050,44,001,"Rhode Island","Bristol County",1,1,330,170,160
050,44,001,"Rhode Island","Bristol County",1,2,408,208,200
050,44,001,"Rhode Island","Bristol County",1,3,405,198,207
050,44,001,"Rhode Island","Bristol County",1,4,434,207,227
050,44,001,"Rhode Island","Bristol County",1,5,473,232,241
050,44,001,"Rhode Island","Bristol County",1,6,475,254,221
050,44,001,"Rhode Island","Bristol County",1,7,469,244,225
050,44,001,"Rhode Island","Bristol County",1,8,497,254,243
050,44,001,"Rhode Island","Bristol County",1,9,556,288,268
050,44,001,"Rhode Island","Bristol County",1,10,571,286,285
050,44,001,"Rhode Island","Bristol County",1,11,555,287,268
050,44,001,"Rhode Island","Bristol County",1,12,597,312,285
050,44,001,"Rhode Island","Bristol County",1,13,642,313,329
050,44,001,"Rhode Island","Bristol County",1,14,673,380,293
050,44,001,"Rhode Island","Bristol County",1,15,570,306,264
050,44,001,"Rhode Island","Bristol County",1,16,629,304,325
050,44,001,"Rhode Island","Bristol County",1,17,635,299,336
050,44,001,"Rhode Island","Bristol County",1,18,1199,560,639
050,44,001,"Rhode Island","Bristol County",1,19,1197,628,569
050,44,001,"Rhode Island","Bristol County",1,20,1224,540,684
050,44,001,"Rhode Island","Bristol County",1,21,772,478,294
050,44,001,"Rhode Island","Bristol County",1,22,588,277,311
050,44,001,"Rhode Island","Bristol County",1,23,553,282,271
050,44,001,"Rhode Island","Bristol County",1,24,576,261,315
050,44,001,"Rhode Island","Bristol County",1,25,464,221,243
050,44,001,"Rhode Island","Bristol County",1,26,471,258,213
050,44,001,"Rhode Island","Bristol County",1,27,462,255,207
050,44,001,"Rhode Island","Bristol County",1,28,493,243,250
050,44,001,"Rhode Island","Bristol County",1,29,497,272,225
050,44,001,"Rhode Island","Bristol County",1,30,482,242,240
050,44,001,"Rhode Island","Bristol County",1,31,491,247,244
050,44,001,"Rhode Island","Bristol County",1,32,462,211,251
050,44,001,"Rhode Island","Bristol County",1,33,503,259,244
050,44,001,"Rhode Island","Bristol County",1,34,507,229,278
050,44,001,"Rhode Island","Bristol County",1,35,536,279,257
050,44,001,"Rhode Island","Bristol County",1,36,533,250,283
050,44,001,"Rhode Island","Bristol County",1,37,537,241,296
050,44,001,"Rhode Island","Bristol County",1,38,562,266,296
050,44,001,"Rhode Island","Bristol County",1,39,628,301,327
050,44,001,"Rhode Island","Bristol County",1,40,528,246,282
050,44,001,"Rhode Island","Bristol County",1,41,526,257,269
050,44,001,"Rhode Island","Bristol County",1,42,531,240,291
050,44,001,"Rhode Island","Bristol County",1,43,547,266,281
050,44,001,"Rhode Island","Bristol County",1,44,530,234,296
050,44,001,"Rhode Island","Bristol County",1,45,553,272,281
050,44,001,"Rhode Island","Bristol County",1,46,566,271,295
050,44,001,"Rhode Island","Bristol County",1,47,607,310,297
050,44,001,"Rhode Island","Bristol County",1,48,644,290,354
050,44,001,"Rhode Island","Bristol County",1,49,676,325,351
050,44,001,"Rhode Island","Bristol County",1,50,748,342,406
050,44,001,"Rhode Island","Bristol County",1,51,648,289,359
050,44,001,"Rhode Island","Bristol County",1,52,712,320,392
050,44,001,"Rhode Island","Bristol County",1,53,688,346,342
050,44,001,"Rhode Island","Bristol County",1,54,713,353,360
050,44,001,"Rhode Island","Bristol County",1,55,784,367,417
050,44,001,"Rhode Island","Bristol County",1,56,790,360,430
050,44,001,"Rhode Island","Bristol County",1,57,780,343,437
050,44,001,"Rhode Island","Bristol County",1,58,782,389,393
050,44,001,"Rhode Island","Bristol County",1,59,839,380,459
050,44,001,"Rhode Island","Bristol County",1,60,808,391,417
050,44,001,"Rhode Island","Bristol County",1,61,794,384,410
050,44,001,"Rhode Island","Bristol County",1,62,793,379,414
050,44,001,"Rhode Island","Bristol County",1,63,809,385,424
050,44,001,"Rhode Island","Bristol County",1,64,756,378,378
050,44,001,"Rhode Island","Bristol County",1,65,741,350,391
050,44,001,"Rhode Island","Bristol County",1,66,684,319,365
050,44,001,"Rhode Island","Bristol County",1,67,659,304,355
050,44,001,"Rhode Island","Bristol County",1,68,616,296,320
050,44,001,"Rhode Island","Bristol County",1,69,576,268,308
050,44,001,"Rhode Island","Bristol County",1,70,552,274,278
050,44,001,"Rhode Island","Bristol County",1,71,548,233,315
050,44,001,"Rhode Island","Bristol County",1,72,563,271,292
050,44,001,"Rhode Island","Bristol County",1,73,579,269,310
050,44,001,"Rhode Island","Bristol County",1,74,415,194,221
050,44,001,"Rhode Island","Bristol County",1,75,383,159,224
050,44,001,"Rhode Island","Bristol County",1,76,424,194,230
050,44,001,"Rhode Island","Bristol County",1,77,421,209,212
050,44,001,"Rhode Island","Bristol County",1,78,351,173,178
050,44,001,"Rhode Island","Bristol County",1,79,270,117,153
050,44,001,"Rhode Island","Bristol County",1,80,301,137,164
050,44,001,"Rhode Island","Bristol County",1,81,245,105,140
050,44,001,"Rhode Island","Bristol County",1,82,249,105,144
050,44,001,"Rhode Island","Bristol County",1,83,244,92,152
050,44,001,"Rhode Island","Bristol County",1,84,237,105,132
050,44,001,"Rhode Island","Bristol County",1,85,1615,622,993
050,44,001,"Rhode Island","Bristol County",2,0,333,158,175
050,44,001,"Rhode Island","Bristol County",2,1,332,171,161
050,44,001,"Rhode Island","Bristol County",2,2,398,202,196
050,44,001,"Rhode Island","Bristol County",2,3,408,202,206
050,44,001,"Rhode Island","Bristol County",2,4,435,208,227
050,44,001,"Rhode Island","Bristol County",2,5,466,226,240
050,44,001,"Rhode Island","Bristol County",2,6,475,248,227
050,44,001,"Rhode Island","Bristol County",2,7,474,248,226
050,44,001,"Rhode Island","Bristol County",2,8,493,252,241
050,44,001,"Rhode Island","Bristol County",2,9,541,281,260
050,44,001,"Rhode Island","Bristol County",2,10,566,287,279
050,44,001,"Rhode Island","Bristol County",2,11,559,289,270
050,44,001,"Rhode Island","Bristol County",2,12,588,308,280
050,44,001,"Rhode Island","Bristol County",2,13,628,311,317
050,44,001,"Rhode Island","Bristol County",2,14,663,364,299
050,44,001,"Rhode Island","Bristol County",2,15,600,327,273
050,44,001,"Rhode Island","Bristol County",2,16,617,307,310
050,44,001,"Rhode Island","Bristol County",2,17,635,302,333
050,44,001,"Rhode Island","Bristol County",2,18,1183,550,633
050,44,001,"Rhode Island","Bristol County",2,19,1200,628,572
050,44,001,"Rhode Island","Bristol County",2,20,1230,540,690
050,44,001,"Rhode Island","Bristol County",2,21,763,476,287
050,44,001,"Rhode Island","Bristol County",2,22,584,271,313
050,44,001,"Rhode Island","Bristol County",2,23,562,287,275
050,44,001,"Rhode Island","Bristol County",2,24,560,262,298
050,44,001,"Rhode Island","Bristol County",2,25,484,229,255
050,44,001,"Rhode Island","Bristol County",2,26,479,260,219
050,44,001,"Rhode Island","Bristol County",2,27,462,251,211
050,44,001,"Rhode Island","Bristol County",2,28,491,249,242
050,44,001,"Rhode Island","Bristol County",2,29,496,262,234
050,44,001,"Rhode Island","Bristol County",2,30,481,246,235
050,44,001,"Rhode Island","Bristol County",2,31,487,245,242
050,44,001,"Rhode Island","Bristol County",2,32,475,220,255
050,44,001,"Rhode Island","Bristol County",2,33,498,248,250
050,44,001,"Rhode Island","Bristol County",2,34,510,239,271
050,44,001,"Rhode Island","Bristol County",2,35,536,271,265
050,44,001,"Rhode Island","Bristol County",2,36,535,258,277
050,44,001,"Rhode Island","Bristol County",2,37,542,244,298
050,44,001,"Rhode Island","Bristol County",2,38,564,265,299
050,44,001,"Rhode Island","Bristol County",2,39,617,296,321
050,44,001,"Rhode Island","Bristol County",2,40,561,263,298
050,44,001,"Rhode Island","Bristol County",2,41,523,253,270
050,44,001,"Rhode Island","Bristol County",2,42,529,245,284
050,44,001,"Rhode Island","Bristol County",2,43,549,263,286
050,44,001,"Rhode Island","Bristol County",2,44,530,241,289
050,44,001,"Rhode Island","Bristol County",2,45,553,267,286
050,44,001,"Rhode Island","Bristol County",2,46,563,271,292
050,44,001,"Rhode Island","Bristol County",2,47,595,298,297
050,44,001,"Rhode Island","Bristol County",2,48,636,294,342
050,44,001,"Rhode Island","Bristol County",2,49,674,320,354
050,44,001,"Rhode Island","Bristol County",2,50,728,335,393
050,44,001,"Rhode Island","Bristol County",2,51,668,302,366
050,44,001,"Rhode Island","Bristol County",2,52,692,311,381
050,44,001,"Rhode Island","Bristol County",2,53,692,338,354
050,44,001,"Rhode Island","Bristol County",2,54,704,350,354
050,44,001,"Rhode Island","Bristol County",2,55,765,362,403
050,44,001,"Rhode Island","Bristol County",2,56,793,361,432
050,44,001,"Rhode Island","Bristol County",2,57,778,345,433
050,44,001,"Rhode Island","Bristol County",2,58,779,375,404
050,44,001,"Rhode Island","Bristol County",2,59,830,385,445
050,44,001,"Rhode Island","Bristol County",2,60,811,383,428
050,44,001,"Rhode Island","Bristol County",2,61,794,382,412
050,44,001,"Rhode Island","Bristol County",2,62,794,381,413
050,44,001,"Rhode Island","Bristol County",2,63,812,385,427
050,44,001,"Rhode Island","Bristol County",2,64,761,377,384
050,44,001,"Rhode Island","Bristol County",2,65,743,357,386
050,44,001,"Rhode Island","Bristol County",2,66,691,321,370
050,44,001,"Rhode Island","Bristol County",2,67,662,308,354
050,44,001,"Rhode Island","Bristol County",2,68,623,297,326
050,44,001,"Rhode Island","Bristol County",2,69,589,275,314
050,44,001,"Rhode Island","Bristol County",2,70,556,272,284
050,44,001,"Rhode Island","Bristol County",2,71,542,239,303
050,44,001,"Rhode Island","Bristol County",2,72,545,256,289
050,44,001,"Rhode Island","Bristol County",2,73,599,280,319
050,44,001,"Rhode Island","Bristol County",2,74,427,198,229
050,44,001,"Rhode Island","Bristol County",2,75,385,163,222
050,44,001,"Rhode Island","Bristol County",2,76,411,184,227
050,44,001,"Rhode Island","Bristol County",2,77,431,213,218
050,44,001,"Rhode Island","Bristol County",2,78,355,177,178
050,44,001,"Rhode Island","Bristol County",2,79,286,127,159
050,44,001,"Rhode Island","Bristol County",2,80,292,132,160
050,44,001,"Rhode Island","Bristol County",2,81,254,112,142
050,44,001,"Rhode Island","Bristol County",2,82,242,101,141
050,44,001,"Rhode Island","Bristol County",2,83,244,92,152
050,44,001,"Rhode Island","Bristol County",2,84,233,104,129
050,44,001,"Rhode Island","Bristol County",2,85,1607,617,990
050,44,001,"Rhode Island","Bristol County",3,0,328,165,163
050,44,001,"Rhode Island","Bristol County",3,1,366,172,194
050,44,001,"Rhode Island","Bristol County",3,2,356,174,182
050,44,001,"Rhode Island","Bristol County",3,3,422,217,205
050,44,001,"Rhode Island","Bristol County",3,4,424,211,213
050,44,001,"Rhode Island","Bristol County",3,5,437,205,232
050,44,001,"Rhode Island","Bristol County",3,6,472,226,246
050,44,001,"Rhode Island","Bristol County",3,7,490,256,234
050,44,001,"Rhode Island","Bristol County",3,8,488,254,234
050,44,001,"Rhode Island","Bristol County",3,9,491,254,237
050,44,001,"Rhode Island","Bristol County",3,10,543,278,265
050,44,001,"Rhode Island","Bristol County",3,11,574,285,289
050,44,001,"Rhode Island","Bristol County",3,12,561,291,270
050,44,001,"Rhode Island","Bristol County",3,13,595,314,281
050,44,001,"Rhode Island","Bristol County",3,14,639,312,327
050,44,001,"Rhode Island","Bristol County",3,15,654,358,296
050,44,001,"Rhode Island","Bristol County",3,16,608,328,280
050,44,001,"Rhode Island","Bristol County",3,17,618,309,309
050,44,001,"Rhode Island","Bristol County",3,18,1155,534,621
050,44,001,"Rhode Island","Bristol County",3,19,1163,602,561
050,44,001,"Rhode Island","Bristol County",3,20,1176,506,670
050,44,001,"Rhode Island","Bristol County",3,21,747,466,281
050,44,001,"Rhode Island","Bristol County",3,22,591,275,316
050,44,001,"Rhode Island","Bristol County",3,23,569,297,272
050,44,001,"Rhode Island","Bristol County",3,24,531,261,270
050,44,001,"Rhode Island","Bristol County",3,25,521,249,272
050,44,001,"Rhode Island","Bristol County",3,26,509,254,255
050,44,001,"Rhode Island","Bristol County",3,27,448,242,206
050,44,001,"Rhode Island","Bristol County",3,28,462,253,209
050,44,001,"Rhode Island","Bristol County",3,29,494,258,236
