"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGE","TOT_POP","TOT_MALE","TOT_FEMALE"
050,34,001,"New Jersey","Atlantic County",1,0,2705,1378,1327
050,34,001,"New Jersey","Atlantic County",1,1,2730,1384,1346
050,34,001,"New Jersey","Atlantic County",1,2,2799,1433,1366
050,34,001,"New Jersey","Atlantic County",1,3,2793,1443,1350
050,34,001,"New Jersey","Atlantic County",1,4,2858,1453,1405
050,34,001,"New Jersey","Atlantic County",1,5,3020,1546,1474
050,34,001,"New Jersey","Atlantic County",1,6,3031,1554,1477
050,34,001,"New Jersey","Atlantic County",1,7,3135,1605,1530
050,34,001,"New Jersey","Atlantic County",1,8,3180,1680,1500
050,34,001,"New Jersey","Atlantic County",1,9,3151,1607,1544
050,34,001,"New Jersey","Atlantic County",1,10,3410,1744,1666
050,34,001,"New Jersey","Atlantic County",1,11,3390,1740,1650
050,34,001,"New Jersey","Atlantic County",1,12,3405,1697,1708
050,34,001,"New Jersey","Atlantic County",1,13,3447,1761,1686
050,34,001,"New Jersey","Atlantic County",1,14,3402,1741,1661
050,34,001,"New Jersey","Atlantic County",1,15,3563,1867,1696
050,34,001,"New Jersey","Atlantic County",1,16,3393,1730,1663
050,34,001,"New Jersey","Atlantic County",1,17,3492,1795,1697
050,34,001,"New Jersey","Atlantic County",1,18,3635,1788,1847
050,34,001,"New Jersey","Atlantic County",1,19,3917,1921,1996
050,34,001,"New Jersey","Atlantic County",1,20,3881,1874,2007
050,34,001,"New Jersey","Atlantic County",1,21,3796,1888,1908
050,34,001,"New Jersey","Atlantic County",1,22,3429,1693,1736
050,34,001,"New Jersey","Atlantic County",1,23,3228,1618,1610
050,34,001,"New Jersey","Atlantic County",1,24,3224,1613,1611
050,34,001,"New Jersey","Atlantic County",1,25,3234,1650,1584
050,34,001,"New Jersey","Atlantic County",1,26,3207,1672,1535
050,34,001,"New Jersey","Atlantic County",1,27,3257,1600,1657
050,34,001,"New Jersey","Atlantic County",1,28,3196,1506,1690
050,34,001,"New Jersey","Atlantic County",1,29,3278,1627,1651
050,34,001,"New Jersey","Atlantic County",1,30,3325,1647,1678
050,34,001,"New Jersey","Atlantic County",1,31,3167,1510,1657
050,34,001,"New Jersey","Atlantic County",1,32,3207,1546,1661
050,34,001,"New Jersey","Atlantic County",1,33,3146,1517,1629
050,34,001,"New Jersey","Atlantic County",1,34,3175,1498,1677
050,34,001,"New Jersey","Atlantic County",1,35,3137,1572,1565
050,34,001,"New Jersey","Atlantic County",1,36,3131,1541,1590
