"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGE","TOT_POP","TOT_MALE","TOT_FEMALE"
050,24,001,"Maryland","Allegany County",1,0,644,328,316
050,24,001,"Maryland","Allegany County",1,1,635,321,314
050,24,001,"Maryland","Allegany County",1,2,622,329,293
050,24,001,"Maryland","Allegany County",1,3,647,343,304
050,24,001,"Maryland","Allegany County",1,4,647,333,314
050,24,001,"Maryland","Allegany County",1,5,628,332,296
050,24,001,"Maryland","Allegany County",1,6,704,367,337
050,24,001,"Maryland","Allegany County",1,7,657,332,325
050,24,001,"Maryland","Allegany County",1,8,662,326,336
050,24,001,"Maryland","Allegany County",1,9,719,379,340
050,24,001,"Maryland","Allegany County",1,10,693,371,322
050,24,001,"Maryland","Allegany County",1,11,697,379,318
050,24,001,"Maryland","Allegany County",1,12,725,375,350
050,24,001,"Maryland","Allegany County",1,13,683,338,345
050,24,001,"Maryland","Allegany County",1,14,712,377,335
050,24,001,"Maryland","Allegany County",1,15,675,343,332
050,24,001,"Maryland","Allegany County",1,16,690,349,341
050,24,001,"Maryland","Allegany County",1,17,707,364,343
050,24,001,"Maryland","Allegany County",1,18,849,462,387
050,24,001,"Maryland","Allegany County",1,19,1063,555,508
050,24,001,"Maryland","Allegany County",1,20,909,467,442
050,24,001,"Maryland","Allegany County",1,21,942,530,412
050,24,001,"Maryland","Allegany County",1,22,868,477,391
050,24,001,"Maryland","Allegany County",1,23,785,436,349
050,24,001,"Maryland","Allegany County",1,24,753,408,345
050,24,001,"Maryland","Allegany County",1,25,775,450,325
050,24,001,"Maryland","Allegany County",1,26,780,455,325
050,24,001,"Maryland","Allegany County",1,27,836,472,364
050,24,001,"Maryland","Allegany County",1,28,909,526,383
050,24,001,"Maryland","Allegany County",1,29,856,505,351
050,24,001,"Maryland","Allegany County",1,30,882,532,350
050,24,001,"Maryland","Allegany County",1,31,858,495,363
050,24,001,"Maryland","Allegany County",1,32,926,571,355
050,24,001,"Maryland","Allegany County",1,33,852,503,349
050,24,001,"Maryland","Allegany County",1,34,826,487,339
050,24,001,"Maryland","Allegany County",1,35,883,492,391
050,24,001,"Maryland","Allegany County",1,36,852,475,377
050,24,001,"Maryland","Allegany County",1,37,857,515,342
050,24,001,"Maryland","Allegany County",1,38,837,484,353
050,24,001,"Maryland","Allegany County",1,39,851,479,372
050,24,001,"Maryland","Allegany County",1,40,851,518,333
050,24,001,"Maryland","Allegany County",1,41,789,423,366
050,24,001,"Maryland","Allegany County",1,42,778,441,337
050,24,001,"Maryland","Allegany County",1,43,728,441,287
050,24,001,"Maryland","Allegany County",1,44,798,461,337
050,24,001,"Maryland","Allegany County",1,45,724,424,300
050,24,001,"Maryland","Allegany County",1,46,744,381,363
050,24,001,"Maryland","Allegany County",1,47,761,418,343
050,24,001,"Maryland","Allegany County",1,48,885,492,393
050,24,001,"Maryland","Allegany County",1,49,950,493,457
050,24,001,"Maryland","Allegany County",1,50,900,492,408
050,24,001,"Maryland","Allegany County",1,51,874,464,410
050,24,001,"Maryland","Allegany County",1,52,856,497,359
050,24,001,"Maryland","Allegany County",1,53,904,507,397
050,24,001,"Maryland","Allegany County",1,54,924,493,431
050,24,001,"Maryland","Allegany County",1,55,943,492,451
050,24,001,"Maryland","Allegany County",1,56,925,488,437
050,24,001,"Maryland","Allegany County",1,57,916,482,434
050,24,001,"Maryland","Allegany County",1,58,943,457,486
050,24,001,"Maryland","Allegany County",1,59,1061,559,502
050,24,001,"Maryland","Allegany County",1,60,1041,525,516
050,24,001,"Maryland","Allegany County",1,61,961,467,494
050,24,001,"Maryland","Allegany County",1,62,983,502,481
050,24,001,"Maryland","Allegany County",1,63,977,493,484
050,24,001,"Maryland","Allegany County",1,64,883,426,457
050,24,001,"Maryland","Allegany County",1,65,888,457,431
050,24,001,"Maryland","Allegany County",1,66,882,417,465
050,24,001,"Maryland","Allegany County",1,67,838,397,441
050,24,001,"Maryland","Allegany County",1,68,812,409,403
050,24,001,"Maryland","Allegany County",1,69,818,395,423
050,24,001,"Maryland","Allegany County",1,70,795,367,428
050,24,001,"Maryland","Allegany County",1,71,788,387,401
050,24,001,"Maryland","Allegany County",1,72,864,418,446
050,24,001,"Maryland","Allegany County",1,73,857,380,477
050,24,001,"Maryland","Allegany County",1,74,565,252,313
050,24,001,"Maryland","Allegany County",1,75,603,269,334
050,24,001,"Maryland","Allegany County",1,76,607,285,322
050,24,001,"Maryland","Allegany County",1,77,574,250,324
050,24,001,"Maryland","Allegany County",1,78,559,243,316
050,24,001,"Maryland","Allegany County",1,79,486,219,267
050,24,001,"Maryland","Allegany County",1,80,440,193,247
050,24,001,"Maryland","Allegany County",1,81,453,181,272
050,24,001,"Maryland","Allegany County",1,82,436,180,256
050,24,001,"Maryland","Allegany County",1,83,366,151,215
050,24,001,"Maryland","Allegany County",1,84,338,158,180
050,24,001,"Maryland","Allegany County",1,85,1946,628,1318
050,24,001,"Maryland","Allegany County",2,0,635,332,303
050,24,001,"Maryland","Allegany County",2,1,631,318,313
050,24,001,"Maryland","Allegany County",2,2,625,328,297
050,24,001,"Maryland","Allegany County",2,3,639,339,300
050,24,001,"Maryland","Allegany County",2,4,651,336,315
050,24,001,"Maryland","Allegany County",2,5,636,334,302
050,24,001,"Maryland","Allegany County",2,6,688,360,328
050,24,001,"Maryland","Allegany County",2,7,666,339,327
050,24,001,"Maryland","Allegany County",2,8,656,327,329
050,24,001,"Maryland","Allegany County",2,9,706,368,338
050,24,001,"Maryland","Allegany County",2,10,699,372,327
050,24,001,"Maryland","Allegany County",2,11,690,374,316
050,24,001,"Maryland","Allegany County",2,12,720,377,343
050,24,001,"Maryland","Allegany County",2,13,692,347,345
050,24,001,"Maryland","Allegany County",2,14,705,369,336
050,24,001,"Maryland","Allegany County",2,15,685,353,332
050,24,001,"Maryland","Allegany County",2,16,694,352,342
050,24,001,"Maryland","Allegany County",2,17,703,361,342
050,24,001,"Maryland","Allegany County",2,18,846,457,389
050,24,001,"Maryland","Allegany County",2,19,1050,548,502
050,24,001,"Maryland","Allegany County",2,20,1010,493,517
050,24,001,"Maryland","Allegany County",2,21,956,560,396
