GEO_ID|B28002_E001|B28002_M001|B28002_E002|B28002_M002|B28002_E003|B28002_M003|B28002_E004|B28002_M004|B28002_E005|B28002_M005|B28002_E006|B28002_M006|B28002_E007|B28002_M007|B28002_E008|B28002_M008|B28002_E009|B28002_M009|B28002_E010|B28002_M010|B28002_E011|B28002_M011|B28002_E012|B28002_M012|B28002_E013|B28002_M013
795P200US5181002|69183|3430|66813|3405|0|217|66813|3405|64497|3484|7249|1519|58251|3496|2243|712|3430|1548|0|217|41|72|799|527|1571|911
795P200US5181003|49201|2703|46913|2686|0|217|46913|2686|45477|2605|5476|1303|40473|3017|1323|525|1834|781|0|217|0|217|771|443|1517|620
795P200US5320501|42872|1763|39980|2008|0|218|39980|2008|37282|2194|3997|1002|30935|1730|1875|705|6621|1365|331|276|276|271|1000|534|1892|813
795P200US5320502|48908|2199|45303|2442|73|117|45230|2447|43175|2314|6068|1437|37669|2489|1959|695|2653|1183|96|169|0|218|2032|802|1573|1004
795P200US5320503|44921|2145|41327|2177|0|218|41327|2177|39223|2361|3535|1054|36542|2198|1908|846|2058|702|150|173|0|218|1400|685|2194|829
795P200US5320700|49816|1487|46052|1702|207|256|45845|1686|43380|1724|5280|1356|38638|1775|2180|858|3722|1019|93|84|0|218|1290|549|2474|793
795P200US5320900|52704|1291|48712|1741|36|63|48676|1734|44849|1871|5753|928|38978|1810|3274|755|5301|1046|293|220|0|218|997|437|2995|1034
795P200US5321101|49298|2410|47517|2405|60|81|47457|2390|44752|2440|7181|1446|36261|2426|1854|613|5519|1307|408|302|0|218|848|470|933|409
795P200US5321102|47584|2841|45897|2740|0|218|45897|2740|43167|2618|3928|967|40667|2915|2327|972|2200|1004|0|218|84|140|710|430|977|614
795P200US5321103|55753|2869|51651|2832|0|218|51651|2832|49675|2865|5561|1405|44283|2634|1896|752|1949|685|80|130|0|218|1475|777|2627|1028
795P200US5321104|49618|3096|48178|3098|0|218|48178|3098|46557|3212|4241|1221|43274|3007|1288|587|2105|702|143|170|73|121|549|355|891|548
795P200US5321500|59762|1629|55117|1972|254|219|54863|2008|51183|1895|8499|1333|39757|2455|2650|739|8239|1522|824|515|0|218|1928|786|2717|1039
795P200US5322500|58108|1547|55145|1633|74|127|55071|1641|52145|1735|6951|1449|45058|2474|2385|956|4375|1109|158|130|71|127|1001|575|1962|697
795P200US5322700|60193|1874|56558|2156|207|203|56351|2188|51787|2359|7327|1493|42491|2238|3582|1142|7130|1458|825|576|0|218|895|397|2740|913
795P200US5322900|46476|1840|45106|1802|106|120|45000|1817|41487|1969|4118|999|37557|1897|2970|803|4810|958|372|302|27|45|870|449|500|265
795P200US5323301|56438|2354|55326|2388|0|218|55326|2388|53437|2365|5196|1464|49466|2554|1499|632|1566|1143|95|153|0|218|226|195|886|505
795P200US5323302|43083|2335|42654|2356|73|121|42581|2358|41196|2438|3792|1216|37703|2261|1216|608|1834|913|0|218|46|78|145|159|284|231
795P200US5323303|72700|2733|69943|2842|0|218|69943|2842|68149|2845|3867|879|64975|2952|1393|627|2451|1303|0|218|0|218|1084|706|1673|867
