GEO_ID|B23025_E001|B23025_M001|B23025_E002|B23025_M002|B23025_E003|B23025_M003|B23025_E004|B23025_M004|B23025_E005|B23025_M005|B23025_E006|B23025_M006|B23025_E007|B23025_M007
0100000US|271122729|48318|173038795|144267|171742922|143184|164346993|153557|7395929|60294|1295873|19983|98083934|134055
0100089US|809038|23699|444545|14992|443207|15069|408031|14038|35176|2533|1338|1093|364493|11257
0100091US|2086998|7364|1237460|8960|1222872|8996|1165804|9190|57068|3237|14588|1169|849538|7675
0100093US|215009|3107|130624|3040|128598|2996|121647|3080|6951|860|2026|767|84385|2550
0100094US|879713|12069|517730|10344|496307|10287|472458|10398|23849|2246|21423|2107|361983|8779
01000A0US|256473878|44191|164996645|135899|163719502|135906|156642952|145041|7076550|58330|1277143|20144|91477233|131405
01000C0US|233656462|37907|151692135|126884|150490940|127363|143960508|136211|6530432|55685|1201195|20934|81964327|128705
01000C1US|90351071|67317|59631108|87637|59096230|88276|56159698|93530|2936532|35269|534878|16906|30719963|94042
01000C2US|143305391|66322|92061027|114080|91394710|113108|87800810|121232|3593900|39843|666317|14390|51244364|112414
01000E0US|22817416|19612|13304510|35214|13228562|34862|12682444|37058|546118|13395|75948|4762|9512906|32404
01000E1US|7499820|78288|4489860|51583|4457005|52006|4241127|49243|215878|9045|32855|3813|3009960|38660
01000E2US|15317596|86205|8814650|65665|8771557|64915|8441317|64289|330240|10780|43093|3305|6502946|32576
01000G0US|14648851|18607|8042150|31378|8023420|31245|7704041|34101|319379|11068|18730|2839|6606701|27951
01000H0US|37466267|24719|21346660|49260|21251982|48343|20386485|51586|865497|17197|94678|6031|16119607|41254
010C201US|215766203|206851|140737719|163520|139618789|167763|133362059|165331|6256730|54314|1118930|19615|75028484|143849
010C243US|55356526|230335|32301076|181795|32124133|181181|30984934|177395|1139199|21041|176943|8996|23055450|78198
0200000US1|46908793|13927|30224328|57437|30157822|58067|28804807|60588|1353015|24473|66506|4600|16684465|55885
