state,state_name,projection_year,institutions_with_finance_data,current_undergraduate_enrollment,projected_undergraduate_enrollment,annual_net_operating_impact_proxy,annual_funding_gap_proxy,baseline_undergraduate_tuition_revenue_proxy,funding_gap_pct_of_tuition_proxy
NY,New York,2041,110,609391.0,489754.568,-1054295119.159,1059940554.137,7808590499.3,0.13574031756845464
OH,Ohio,2030,59,311118.0,295857.438,-120488268.179,120488268.179,3399129432.55,0.0354468020620829
OH,Ohio,2035,59,311118.0,296934.012,-111911950.031,111911950.031,3399129432.55,0.032923709512010124
OH,Ohio,2041,59,311118.0,275316.521,-282770647.837,282770647.837,3399129432.55,0.08318913811554028
OK,Oklahoma,2030,21,100621.0,97518.624,-20465567.226,20465567.226,920982641.5,0.022221447293151834
OK,Oklahoma,2035,21,100621.0,95981.62,-30426542.238,30426542.238,920982641.5,0.03303704203202402
OK,Oklahoma,2041,21,100621.0,91015.457,-63082041.94,63082041.94,920982641.5,0.06849427893370344
OR,Oregon,2030,16,96041.0,88963.102,-64606201.224,64606201.224,1178577533.4,0.054817098912128326
OR,Oregon,2035,16,96041.0,87713.694,-76176818.67,76176818.67,1178577533.4,0.0646345416497484
OR,Oregon,2041,16,96041.0,78020.875,-164712826.861,164712826.861,1178577533.4,0.1397556140289141
PA,Pennsylvania,2030,90,323123.0,302497.911,-247633059.407,247727951.862,5133145857.95,0.048260454449843705
PA,Pennsylvania,2035,90,323123.0,299189.367,-285403829.655,285517566.847,5133145857.95,0.05562233662322341
PA,Pennsylvania,2041,90,323123.0,276450.49,-560524732.847,560739177.349,5133145857.95,0.109238894211539
PR,PR,2030,30,143645.0,136698.045,-19809713.728,21450102.904,579706482.95,0.03700166124561018
PR,PR,2035,30,143645.0,136836.381,-19415236.42,21022960.42,579706482.95,0.036264835806249285
PR,PR,2041,30,143645.0,127824.649,-45112792.476,48848463.818,579706482.95,0.08426413237509577
RI,Rhode Island,2030,10,51639.0,48318.464,-48053273.162,48053273.162,946610872.5,0.05076349169230571
RI,Rhode Island,2035,10,51639.0,48267.104,-48740108.698,48740108.698,946610872.5,0.051489064951554316
RI,Rhode Island,2041,10,51639.0,44613.85,-101922502.648,101922502.648,946610872.5,0.10767096133052287
SC,South Carolina,2030,29,115728.0,112800.372,-26097680.69,26097680.69,1301911019.55,0.020045671553667738
SC,South Carolina,2035,29,115728.0,117166.261,11217537.344,0.0,1301911019.55,0.0
SC,South Carolina,2041,29,115728.0,116056.072,320525.482,9095300.193,1301911019.55,0.0069861150696333705
SD,South Dakota,2030,11,29890.0,29608.401,-1393224.133,1393224.133,227137672.35,0.006133831163212587
SD,South Dakota,2035,11,29890.0,30663.039,4245465.498,0.0,227137672.35,0.0
SD,South Dakota,2041,11,29890.0,28438.668,-7505492.471,7505492.471,227137672.35,0.03304380287667415
TN,Tennessee,2030,36,164920.0,162125.128,-17340589.562,17340589.562,1543562996.1,0.011234131425677552
TN,Tennessee,2035,36,164920.0,169041.269,30023538.859,2515362.211,1543562996.1,0.0016295818294137458
TN,Tennessee,2041,36,164920.0,168069.976,25720188.197,7733034.409,1543562996.1,0.005009859933503495
TX,Texas,2030,72,581773.0,559394.967,-141935149.554,143630663.383,5294355254.0,0.027129018830854616
TX,Texas,2035,72,581773.0,567144.589,-89539404.357,89996596.302,5294355254.0,0.016998594160073714
TX,Texas,2041,72,581773.0,551469.909,-183028423.871,183482681.769,5294355254.0,0.034656284470214745
UT,Utah,2030,6,138094.0,132131.413,-25033321.527,25033321.527,915018321.55,0.027358273531173316
UT,Utah,2035,6,138094.0,132099.438,-25224315.306,25224315.306,915018321.55,0.027567005722105263
UT,Utah,2041,6,138094.0,123137.132,-63313814.189,63313814.189,915018321.55,0.06919403983272077
VA,Virginia,2030,37,249379.0,240050.367,-79958705.364,79958705.364,2779435014.95,0.028767970804828624
VA,Virginia,2035,37,249379.0,242763.161,-58984904.348,58984904.348,2779435014.95,0.02122190446286117
VA,Virginia,2041,37,249379.0,224842.104,-207344777.036,207344777.036,2779435014.95,0.07459961320222844
VI,VI,2030,1,2022.0,1924.212,-306961.421,306961.421,11003117.4,0.027897677525462006
VI,VI,2035,1,2022.0,1926.159,-300849.691,300849.691,11003117.4,0.027342223123057834
VI,VI,2041,1,2022.0,1799.307,-699044.462,699044.462,11003117.4,0.0635314917207009
VT,Vermont,2030,8,24438.0,23112.959,-21327741.591,21327741.591,477015005.4,0.0447108400145938
VT,Vermont,2035,8,24438.0,23080.31,-21775970.943,21775970.943,477015005.4,0.045650494631169526
VT,Vermont,2041,8,24438.0,20929.284,-55833092.523,55833092.523,477015005.4,0.11704682639109282
WA,Washington,2030,21,129651.0,123145.483,-49395457.683,49395457.683,1490900867.85,0.0331312823999038
WA,Washington,2035,21,129651.0,124601.407,-37913541.458,37913541.458,1490900867.85,0.025429954650623022
WA,Washington,2041,21,129651.0,114985.972,-111301161.847,111301161.847,1490900867.85,0.07465363006160518
WI,Wisconsin,2030,33,173191.0,163084.592,-67946356.464,67946356.464,1606238477.1,0.04230153705860318
WI,Wisconsin,2035,33,173191.0,161203.228,-80527161.841,80527161.841,1606238477.1,0.05013400126386499
WI,Wisconsin,2041,33,173191.0,148923.419,-163112532.097,163112532.097,1606238477.1,0.10154938660882613
WV,West Virginia,2030,16,53990.0,50432.385,-20034560.611,20034560.611,435020365.25,0.046054305065663825
WV,West Virginia,2035,16,53990.0,48257.83,-31820438.748,31820438.748,435020365.25,0.07314700940429134
WV,West Virginia,2041,16,53990.0,43512.31,-58517890.361,58517890.361,435020365.25,0.13451758822226773
WY,Wyoming,2030,1,9842.0,9287.428,-703025.379,703025.379,54293393.0,0.01294863592334338
WY,Wyoming,2035,1,9842.0,8907.226,-1185003.652,1185003.652,54293393.0,0.021825927364679528
WY,Wyoming,2041,1,9842.0,7946.037,-2403493.335,2403493.335,54293393.0,0.04426861542803191
