GEO_ID|B15003_E001|B15003_M001|B15003_E002|B15003_M002|B15003_E003|B15003_M003|B15003_E004|B15003_M004|B15003_E005|B15003_M005|B15003_E006|B15003_M006|B15003_E007|B15003_M007|B15003_E008|B15003_M008|B15003_E009|B15003_M009|B15003_E010|B15003_M010|B15003_E011|B15003_M011|B15003_E012|B15003_M012|B15003_E013|B15003_M013|B15003_E014|B15003_M014|B15003_E015|B15003_M015|B15003_E016|B15003_M016|B15003_E017|B15003_M017|B15003_E018|B15003_M018|B15003_E019|B15003_M019|B15003_E020|B15003_M020|B15003_E021|B15003_M021|B15003_E022|B15003_M022|B15003_E023|B15003_M023|B15003_E024|B15003_M024|B15003_E025|B15003_M025
0100000US|235910719|69861|4871187|48430|78695|6396|63452|4669|109962|7251|212548|10658|438855|13384|326058|14873|504274|18149|1908577|38411|596330|16803|1798934|31451|2419327|40532|2631027|35570|3097785|40824|4720027|43326|51355820|176203|9343112|60891|15134425|86187|28519108|120955|20848519|84517|52233014|177628|24874048|115763|5581473|51675|4244162|43745
0100089US|696403|20688|10433|1346|28|34|160|174|296|248|280|158|1169|357|525|228|2009|610|3278|1735|2289|504|8184|1212|11023|1461|14651|1534|19402|2145|13070|1324|188683|7510|36367|2658|47043|2888|116355|5350|75723|4256|89838|4451|40702|2449|8034|992|6861|1495
0100091US|1809239|5779|26288|2290|226|193|165|172|548|379|692|339|2519|706|1638|504|2435|736|10697|1395|4214|685|15206|1592|22006|1834|27457|1999|35888|2651|30080|2300|501184|8154|104661|4116|143420|4140|259964|6289|154948|4815|311980|6798|116347|4592|23800|2089|12876|1251
0100093US|186594|3017|513|301|0|172|16|21|0|172|49|66|106|64|120|91|175|118|558|370|638|327|959|336|1995|483|2318|445|4280|781|3047|844|51412|2476|11815|1213|13222|1225|30504|2171|18756|1794|28769|2238|12620|1473|3046|863|1676|515
0100094US|761798|10511|13335|2318|70|111|198|200|157|137|330|203|1375|543|868|364|1469|574|4249|1202|2407|725|7713|1178|12179|1810|15564|1524|19914|2392|14268|1535|211659|6856|41131|3247|49511|3112|104772|4725|76698|4033|115996|4610|51524|3560|9355|1453|7056|1126
01000A0US|223019702|55161|4682621|47817|75279|6174|61367|4644|107637|7314|207940|10659|425775|12852|315184|15093|486213|17686|1849089|37295|549118|15820|1603654|29352|2238767|38008|2384202|32930|2821639|39153|4478560|41524|47440192|172055|8561734|59335|14161346|78145|26832010|112735|19528497|79772|50469009|165293|24148249|108961|5445798|50732|4145822|42632
01000C0US|203408587|39504|4395750|47273|71746|6058|57347|4546|100702|7140|193494|10252|401106|12633|296701|14422|456148|17140|1748621|35282|499629|15152|1386766|27144|2015244|34722|2076707|30685|2457896|33434|4122634|38774|41938512|160832|7457872|56360|12702893|72187|24276073|108878|17479908|74160|47395946|147759|22777221|97393|5174055|47856|3925616|42664
01000C1US|77226889|70651|1997102|29850|30808|4166|24310|3006|49299|4644|104158|7727|197006|9464|146414|9650|222546|10814|858792|26627|225286|11027|565713|16010|883709|23176|838915|22092|1032740|23422|1703734|26700|14511969|86880|2773239|33753|4395234|42680|9150905|63043|5927903|42564|18546854|75647|9029315|67832|2267968|32590|1742970|28301
01000C2US|126181698|78571|2398648|34658|40938|4399|33037|3605|51403|5310|89336|6119|204100|9175|150287|9100|233602|12147|889829|22315|274343|12481|821053|20107|1131535|22590|1237792|22515|1425156|26316|2418900|25039|27426543|112027|4684633|46947|8307659|55790|15125168|80449|11552005|56411|28849092|111256|13747906|72396|2906087|32724|2182646|28856
01000E0US|19611115|25242|286871|10451|3533|915|4020|1055|6935|1532|14446|2641|24669|3001|18483|2907|30065|3388|100468|6532|49489|4029|216888|9626|223523|9371|307495|9490|363743|11430|355926|10381|5501680|42774|1103862|16772|1458453|20104|2555937|24634|2048589|28733|3073063|32038|1371028|23501|271743|8726|220206|8731
01000E1US|6142175|56998|106885|5531|1472|544|1467|594|3389|1229|6874|1761|12061|2249|7418|1694|11513|2148|42202|4090|16612|2581|58463|5394|73463|5924|97744|5275|119331|6534|119050|7235|1622581|31452|353068|9899|459178|10347|820960|19658|612896|13364|979934|18845|445210|12110|87886|5191|82518|4830
01000E2US|13468940|70798|179986|8371|2061|737|2553|883|3546|969|7572|1927|12608|2270|11065|2161|18552|3124|58266|5082|32877|3160|158425|8375|150060|6510|209751|8943|244412|8339|236876|8223|3879099|29131|750794|15164|999275|18483|1734977|18783|1435693|23301|2093129|28157|925818|17450|183857|7021|137688|6983
01000G0US|12891017|28933|188566|7457|3416|948|2085|698|2325|778|4608|1139|13080|2002|10874|1624|18061|2494|59488|4849|47212|3339|195280|6787|180560|7347|246825|8046|276146|8554|241467|7490|3915628|27044|781378|13901|973079|16267|1687098|17645|1320022|15545|1764005|23764|725799|14830|135675|5340|98340|5011
01000H0US|32502132|45904|475437|13529|6949|1279|6105|1297|9260|1783|19054|2950|37749|3830|29357|3088|48126|3977|159956|8100|96701|5477|412168|12737|404083|13158|554320|13086|639889|15352|597393|14252|9417308|51677|1885240|21931|2431532|27996|4243035|35056|3368611|35960|4837068|46245|2096827|30238|407418|10777|318546|9981
010C201US|186169169|140626|4202961|48162|67244|6328|54021|4111|95313|7123|192804|10294|390526|12529|291018|14614|439203|16472|1696978|36136|466758|14745|1251454|26895|1858117|36024|1883925|29902|2262125|35623|3852761|39006|37632367|180448|6753108|54257|11492279|63805|22197182|110854|15710544|75300|43736161|120312|21131459|88783|4832674|47108|3678187|39413
010C243US|49741550|192238|668226|14109|11451|2113|9431|1635|14649|2421|19744|2812|48329|4546|35040|3338|65071|5067|211599|10364|129572|6178|547480|14753|561210|14689|747102|14977|835660|16265|867266|17706|13723453|67213|2590004|28078|3642146|45352|6321926|43442|5137975|44221|8496853|76075|3742589|44887|748799|14733|565975|14517
0200000US1|41080155|10799|905653|19534|15251|2295|10170|2352|19688|3101|31423|3806|66613|6574|65949|6540|99846|7085|235703|11062|102529|7039|338325|12801|335483|13570|414818|11992|469402|13367|785097|19240|9262291|53751|1490376|25564|2180185|27936|3827544|35660|3365493|37809|9664618|54164|5321317|38405|1195374|20039|877007|18955
0200000US2|48009325|22268|719103|17770|11167|1872|10069|1814|12575|2226|20101|2605|33779|3890|34209|3818|40465|4291|179573|10682|62800|4974|376685|13874|323425|11569|506192|13594|619925|15099|825223|17117|11496898|60115|1883910|22803|3388845|30653|6005860|45285|4755595|39477|10368718|63480|4614527|45984|954222|16448|765459|16502
0200000US3|91214522|42479|1763769|34190|33858|4423|21975|3264|37615|4550|79478|6365|166151|8010|114998|8064|193955|10379|718627|22324|283980|12539|721372|18212|1130908|25858|1202962|21411|1361771|27695|1757739|26677|20281462|102808|4143964|34652|5921856|49620|11288256|72837|7966794|54514|19286117|94303|9152476|62521|2054741|25929|1529698|23704
0200000US4|55606717|15685|1482662|28496|18419|2617|21238|2643|40084|4235|81546|6555|172312|8964|110902|7980|170008|9337|774674|18527|147021|7534|362552|11609|629511|18259|507055|13800|646687|15594|1351968|24042|10315169|67722|1824862|26439|3643539|38206|7397448|46623|4760637|35009|12913561|68134|5785728|43738|1377136|22838|1071998|18820
02000A0US1|40037224|10354|895268|19376|14907|2323|10157|2354|19633|3104|31322|3796|66325|6583|65417|6517|99565|7087|234495|11062|101308|7043|324347|12317|325593|13253|399732|11872|453361|13108|770854|19301|8934414|54078|1435701|25282|2114272|28187|3714751|34785|3254182|37812|9493098|53925|5236858|37993|1179656|20161|862008|18618
02000A0US2|43651080|18124|669915|17291|10343|1753|9486|1800|11799|2140|19532|2552|31720|3736|33035|3870|38356|4130|171070|10465|55597|4846|303374|13001|288193|11103|441085|12775|544950|14512|747689|15987|10124261|59583|1660199|21973|3034129|28891|5448700|43349|4223991|37271|9745342|60345|4388903|43578|912073|15969|737338|15855
02000A0US3|85142950|35698|1650961|35072|31777|4347|20743|3169|36289|4554|75978|6345|156410|7553|106598|8214|180167|10210|676317|21583|247863|11569|626289|16454|1010107|23934|1057611|20087|1201946|26003|1633876|25076|18420583|99500|3714167|32789|5478084|44537|10508518|67399|7425332|52254|18561675|88389|8834551|59231|1997566|25718|1489542|23479
02000A0US4|54188448|14738|1466477|28288|18252|2583|20981|2662|39916|4204|81108|6514|171320|8990|110134|8007|168125|9286|767207|18261|144350|7458|349644|11328|614874|18141|485774|13149|621382|15339|1326141|24163|9960934|67727|1751667|26399|3534861|37139|7160041|45863|4624992|34186|12668894|66655|5687937|43567|1356503|22841|1056934|18240
02000C0US1|37446409|8900|865794|18445|14261|2340|10029|2336|18834|2983|31160|3801|65462|6461|64901|6480|98491|7118|231939|11078|97112|6890|293525|12106|304291|12821|365845|11717|412541|12603|731789|19369|8146740|52168|1302047|23896|1954979|26776|3456000|34896|2978455|37203|9040722|53058|5002616|36014|1135217|20285|823659|18515
02000C0US2|37732617|13553|596905|16859|9402|1799|8555|1831|9922|1845|16410|2336|27415|3519|29695|3640|34541|3944|153392|10569|47043|4579|228830|10129|241658|10325|364875|12344|453983|12995|645211|14966|8330169|56395|1365748|19973|2563032|28123|4704609|39930|3538647|35245|8819506|55869|4015233|39696|846772|15563|681064|15338
02000C0US3|77351682|28354|1513420|34364|30772|4337|18790|2968|33196|4478|67848|6107|141977|7027|95941|7703|163237|10006|622482|20185|217726|11255|537168|15049|886004|22474|900840|16564|1024109|22273|1481882|23884|16245018|91141|3204007|33130|4913571|38487|9474942|64723|6673490|48688|17463994|79933|8334877|54489|1895554|24139|1410837|23451
02000C0US4|50877879|12760|1419631|27682|17311|2405|19973|2665|38750|4126|78076|6247|166252|8989|106164|8032|159879|9261|740808|18020|137748|7365|327243|11179|583291|17834|445147|13048|567263|14399|1263752|23574|9216585|66003|1586070|25051|3271311|35198|6640522|44552|4289316|34255|12071724|63091|5424495|42841|1296512|22716|1010056|19118
02000C1US1|11880797|22345|412599|14673|6815|1780|4668|1596|11049|2689|15603|2505|35639|3940|34346|4734|53235|5019|130063|8532|51928|5549|137505|8693|141137|9668|163661|10663|181487|10007|318684|13295|2471275|31051|494859|13424|554210|16225|1069844|20623|784959|17024|2671597|27092|1496630|24853|369449|12171|269555|10195
02000C1US2|13288727|32203|287233|11732|3803|1168|4551|1423|5575|1500|10560|2131|12863|2616|15674|2929|17629|2929|81611|6590|21617|2968|89767|6842|115598|6974|151877|7712|200009|8457|261931|10518|2699503|37434|520988|14303|825577|13800|1660194|28105|1094353|21560|3118015|32505|1459682|25765|336975|10011|293142|9957
02000C1US3|27597856|46126|586882|20045|11585|2788|6564|1683|10354|2168|34390|4841|63847|4669|42902|5743|69605|6264|286742|14461|84145|6891|197766|9223|340761|13981|312362|10788|393921|14181|534979|13388|5286862|49649|1054448|19576|1608720|21671|3391943|39255|2146871|28463|6515983|44139|3171685|33579|844315|16105|600224|13045
02000C1US4|24459509|43592|710388|19919|8605|1847|8527|1908|22321|2926|43605|4671|84657|6318|53492|5564|82077|6465|360376|16158|67596|5333|140675|7755|286213|13760|211015|10287|257323|10072|588140|16526|4054329|40193|702944|16193|1406727|24951|3028924|30777|1901720|21161|6241259|45257|2901318|33108|717229|18715|580049|16090
02000C2US1|25565612|23542|453195|12379|7446|1580|5361|1511|7785|1841|15557|2875|29823|4306|30555|4355|45256|4868|101876|6908|45184|5035|156020|8329|163154|8105|202184|7026|231054|9055|413105|12978|5675465|42268|807188|17698|1400769|22225|2386156|26301|2193496|29772|6369125|48386|3505986|27418|765768|15451|554104|13485
02000C2US2|24443890|32465|309672|12167|5599|1327|4004|1306|4347|1162|5850|1345|14552|2430|14021|1675|16912|2919|71781|6858|25426|3290|139063|7409|126060|6752|212998|8717|253974|10362|383280|12268|5630666|42173|844760|15844|1737455|23970|3044415|28998|2444294|23042|5701491|43559|2555551|28800|509797|13699|387922|10208
02000C2US3|49753826|48207|926538|24168|19187|3414|12226|2466|22842|3913|33458|4070|78130|6259|53039|5641|93632|8375|335740|14860|133581|8552|339402|11465|545243|15428|588478|14007|630188|17933|946903|20603|10958156|70498|2149559|33041|3304851|32719|6082999|49865|4526619|40429|10948011|66661|5163192|40299|1051239|18907|810613|18353
02000C2US4|26418370|45745|709243|19985|8706|1679|11446|2011|16429|2760|34471|3629|81595|5661|52672|4992|77802|6461|380432|12325|70152|5577|186568|8328|297078|11429|234132|9001|309940|9820|675612|14401|5162256|48784|883126|19139|1864584|23310|3611598|39721|2387596|28288|5830465|45352|2523177|31816|579283|13676|430007|12375
02000E0US1|2590815|4158|29474|3158|646|475|128|130|799|488|162|118|863|646|516|284|1074|457|2556|789|4196|894|30822|2440|21302|2056|33887|2444|40820|3241|39065|3199|787674|11271|133654|5207|159293|5048|258751|8104|275727|8473|452376|9658|234242|6820|44439|2781|38349|3550
02000E0US2|5918463|9929|73010|4339|941|383|931|487|1877|761|3122|996|4305|1418|3340|1053|3815|1073|17678|2376|8554|1506|74544|5941|46535|3559|76210|4305|90967|4750|102478|4619|1794092|18518|294451|7490|471097|9798|744091|13225|685344|12088|925836|14416|373670|9610|65301|3919|56274|3488
02000E0US3|7791268|17434|137541|7373|1005|542|1953|697|3093|1301|8130|1998|14433|2062|10657|2037|16930|2767|53835|4839|30137|2896|89121|5055|124103|7031|156771|7805|177837|7684|151994|6353|2175565|25414|510160|13351|564513|15235|1033576|14573|751842|16710|1097681|18537|499674|12521|102012|5265|78705|4239
02000E0US4|3310569|8586|46846|3561|941|483|1008|584|1166|740|3032|1128|5068|1294|3970|1327|8246|1737|26399|2938|6602|2107|22401|2644|31583|3041|40627|3296|54119|4313|62389|4612|744349|16080|165597|7137|263550|9208|519519|13485|335676|10082|597170|13348|263442|8557|59991|4296|46878|3538
02000E1US1|475079|11324|5771|1189|0|213|0|213|288|397|0|213|498|503|0|213|275|280|269|187|834|328|4306|1418|3225|847|6698|1264|7693|1615|7204|2075|130412|7265|28429|2939|31684|2833|49330|4340|48478|3335|86830|5181|46971|3969|8383|1533|7501|1721
02000E1US2|2146884|32932|35894|3174|462|330|690|429|1276|658|2046|884|2939|997|1332|618|2103|751|11039|1913|4399|961|19912|2961|21169|3179|33106|3756|38340|3572|39155|3763|613159|16969|121116|6080|163715|6937|276384|9595|229699|8395|333759|10186|143839|6103|25283|2492|26068|2348
02000E1US3|2382357|26938|48463|3750|506|415|603|441|1445|1063|3184|1272|6180|1580|4409|1172|5488|1738|21875|2836|9798|2095|24453|2973|37896|3815|41999|3875|54525|4558|50761|4094|636592|16606|146063|7248|169847|7485|324989|11225|216594|8471|350298|11561|162761|7658|35633|3437|27995|2973
02000E1US4|1137855|18117|16757|2578|504|354|174|152|380|388|1644|792|2444|1125|1677|1008|3647|1320|9019|1864|1581|837|9792|1776|11173|1998|15941|2276|18773|2423|21930|3025|242418|10177|57460|4405|93932|5561|170257|8148|118125|6015|209047|8930|91639|5209|18587|2299|20954|2306
02000E2US1|2115736|11300|23703|2880|646|475|128|130|511|274|162|118|365|296|516|284|799|397|2287|736|3362|848|26516|2071|18077|1810|27189|2230|33127|2650|31861|2462|657262|10115|105225|4221|127609|4859|209421|6473|227249|7631|365546|9555|187271|6487|36056|2286|30848|3054
02000E2US2|3771579|37858|37116|3017|479|233|241|179|601|348|1076|505|1366|869|2008|800|1712|770|6639|1418|4155|1198|54632|4913|25366|2340|43104|2818|52627|3017|63323|3836|1180933|14342|173335|5446|307382|8502|467707|11418|455645|9616|592077|13358|229831|7439|40018|2669|30206|2550
02000E2US3|5408911|28452|89078|5914|499|358|1350|567|1648|688|4946|1632|8253|1952|6248|1524|11442|2415|31960|3962|20339|2113|64668|4324|86207|5460|114772|7038|123312|6090|101233|5057|1538973|19284|364097|11681|394666|11533|708587|11046|535248|14115|747383|15122|336913|9635|66379|4275|50710|3700
02000E2US4|2172714|20068|30089|3328|437|305|834|602|786|480|1388|718|2624|795|2293|969|4599|1397|17380|2496|5021|1923|12609|1943|20410|2492|24686|2773|35346|3782|40459|3613|501931|13417|108137|5719|169618|7433|349262|11632|217551|7939|388123|10792|171803|6832|41404|3587|25924|2739
02000G0US1|1042931|1972|10385|1641|344|222|13|22|55|55|101|82|288|197|532|358|281|151|1208|374|1221|393|13978|1659|9890|1339|15086|1382|16041|1713|14243|1451|327877|6400|54675|3200|65913|3362|112793|4671|111311|4117|171520|4639|84459|3828|15718|1615|14999|1767
02000G0US2|4358245|10619|49188|3298|824|465|583|319|776|412|569|376|2059|724|1174|392|2109|868|8503|1251|7203|1265|73311|3343|35232|2731|65107|4013|74975|4157|77534|4270|1372637|11928|223711|6426|354716|7398|557160|8462|531604|8424|623376|11688|225624|6961|42149|2803|28121|2361
02000G0US3|6071572|20845|112808|6257|2081|721|1232|626|1326|595|3500|1121|9741|1721|8400|1487|13788|2127|42310|4098|36117|2993|95083|5403|120801|6324|145351|6551|159825|6714|123863|4926|1860879|20918|429797|10821|443772|11972|779738|14972|541462|11857|724442|14486|317925|10036|57175|3489|40156|3328
02000G0US4|1418269|7550|16185|2123|167|230|257|200|168|166|438|207|992|399|768|362|1883|636|7467|2278|2671|715|12908|1962|14637|2042|21281|2243|25305|2167|25827|2806|354235|9754|73195|3869|108678|4835|237407|7861|135645|5984|244667|7116|97791|5357|20633|2708|15064|2004
02000H0US1|3633746|4808|39859|3534|990|489|141|132|854|490|263|163|1151|672|1048|417|1355|458|3764|871|5417|1027|44800|2823|31192|2434|48973|2583|56861|3776|53308|3738|1115551|11878|188329|5928|225206|5767|371544|9348|387038|9337|623896|10141|318701|7795|60157|3445|53348|4089
02000H0US2|10276708|15740|122198|6268|1765|667|1514|587|2653|893|3691|1053|6364|1689|4514|1088|5924|1211|26181|2746|15757|1963|147855|6759|81767|4598|141317|5106|165942|6667|180012|6582|3166729|22609|518162|9397|825813|12068|1301251|15564|1216948|15607|1549212|20592|599294|12034|107450|4757|84395|4498
02000H0US3|13862840|30165|250349|9192|3086|832|3185|978|4419|1379|11630|2282|24174|2646|19057|2395|30718|3165|96145|6323|66254|4304|184204|7505|244904|10766|302122|11064|337662|10095|275857|8790|4036444|33690|939957|17209|1008285|19865|1813314|22347|1293304|21211|1822123|26572|817599|17450|159187|6244|118861|5349
02000H0US4|4728838|10882|63031|4074|1108|545|1265|629|1334|742|3470|1181|6060|1380|4738|1362|10129|1957|33866|3930|9273|2474|35309|3278|46220|3959|61908|4001|79424|4757|88216|5568|1098584|19710|238792|7856|372228|10064|756926|15569|471321|12563|841837|15608|361233|10065|80624|4900|61942|4150
020C201US1|34238326|35959|831540|18365|13277|2160|9660|2315|18269|3164|30500|3621|65514|6512|63874|6471|97382|7026|227542|11203|94519|6934|266211|11233|278955|12559|341714|12169|384869|13254|694021|18528|7316388|51049|1212345|25040|1763818|25576|3148283|32540|2641505|33949|8306504|50388|4614622|34031|1053786|18313|763228|17610
020C201US2|35130843|80386|600173|17237|8795|1723|9010|1732|10711|2031|18247|2626|28948|3698|30429|3728|36285|4120|162787|10190|48453|4832|204166|9954|244249|11052|358082|11683|445417|12887|626468|15806|7656093|68507|1333207|20272|2369921|27555|4388543|46743|3220355|33456|8143885|49313|3749177|37760|792542|14609|644900|15009
020C201US3|67997846|70974|1389795|32666|27944|4285|16628|2787|29147|4273|67367|6039|134982|7147|93422|7642|150191|9376|590073|20357|193621|10026|466692|14707|775580|22412|756318|16417|892427|23756|1320276|23307|13852628|94158|2686220|29576|4231741|33272|8312559|65230|5755893|49027|15676045|73255|7544639|50780|1742773|24259|1290885|20602
020C201US4|48802154|40850|1381453|27726|17228|2442|18723|2588|37186|4131|76690|6130|161082|8751|103293|7740|155345|9116|716576|17547|130165|7160|314385|10510|559333|17105|427811|12597|539412|14417|1211996|23214|8807258|62255|1521336|24054|3126799|34316|6347797|41381|4092791|34049|11609727|62677|5223021|41502|1243573|21705|979174|17633
020C243US1|6841829|37290|74113|5038|1974|709|510|289|1419|600|923|639|1099|501|2075|689|2464|730|8161|1688|8010|1253|72114|4330|56528|4147|73104|3673|84533|4000|91076|4382|1945903|21338|278031|6641|416367|9574|679261|12459|723988|12829|1358114|20256|706695|16905|141588|5716|113779|5420
020C243US2|12878482|95363|118930|4987|2372|865|1059|477|1864|590|1854|663|4831|1629|3780|965|4180|943|16786|2144|14347|1980|172519|7782|79176|4311|148110|5888|174508|6356|198755|6753|3840805|26405|550703|9807|1018924|17271|1617317|18930|1535240|20575|2224833|31703|865350|16020|161680|5700|120559|5061
020C243US3|23216676|88971|373974|10143|5914|1427|5347|1313|8468|1890|12111|2351|31169|3173|21576|2524|43764|4129|128554|8018|90359|5357|254680|9228|355328|10941|446644|11550|469344|13500|437463|12036|6428834|52986|1457744|20640|1690115|26786|2975697|27243|2210901|29931|3610072|42228|1607837|27357|311968|9097|238813|9060
020C243US4|6804563|42705|101209|5938|1191|532|2515|1011|2898|1046|4856|1207|11230|1823|7609|1535|14663|3030|58098|4946|16856|2466|48167|4257|70178|4936|79244|4317|107275|5077|139972|7019|1507911|22747|303526|9723|516740|13753|1049651|19731|667846|12773|1303834|22153|562707|14040|133563|6228|92824|5609
0300000US1|11039662|5952|200298|10632|3223|980|1314|713|4876|1780|7094|1623|16841|3209|18703|3109|21157|3222|39205|4034|23712|3285|68588|5780|82811|6673|95493|6256|102534|5864|171972|8901|2331193|25771|381829|12009|601827|16219|1089104|21038|873679|14720|2708538|25437|1559405|20166|340286|10567|295980|9563
0300000US2|30040493|8461|705355|17894|12028|2153|8856|2052|14812|2975|24329|3155|49772|5032|47246|5354|78689|5710|196498|10527|78817|5881|269737|10856|252672|11700|319325|10130|366868|12132|613125|15945|6931098|43304|1108547|21328|1578358|24399|2738440|27868|2491814|30623|6956080|46278|3761912|30875|855088|17016|581027|15178
0300000US3|33063375|14171|513559|15650|7646|1502|7365|1883|8466|1566|14480|2287|25186|3079|26090|2881|29361|3393|134517|10050|43632|4351|266944|12148|236352|10014|363417|12143|445567|12760|599194|13190|8105259|51449|1314788|20336|2303578|26257|4094517|34846|3136441|31651|6993084|48685|3223914|37304|653210|13576|516808|12361
0300000US4|14945950|14013|205544|8665|3521|984|2704|979|4109|1278|5621|1412|8593|1861|8119|1831|11104|2145|45056|4504|19168|2395|109741|6277|87073|4874|142775|5977|174358|8290|226029|7500|3391639|29111|569122|13306|1085267|16779|1911343|20814|1619154|21591|3375634|31294|1390613|19741|301012|9187|248651|8039
0300000US5|49028802|24555|863169|24502|17620|3081|11092|2456|18839|3425|32755|4360|68261|5881|53973|6476|88697|6628|281043|12136|126551|8311|317458|12163|502910|15160|604362|16936|652015|18851|927205|20423|10655248|68210|2014358|24426|3074558|36249|5774483|53742|4484721|43260|10858753|65075|5426443|45406|1246419|19305|927869|17459
0300000US6|13666393|14481|207809|9764|4687|1244|2837|973|3263|1236|6513|1662|13848|2631|10278|2145|18455|2861|52773|5313|42905|3887|149247|8086|169016|7078|222410|8771|263717|10506|258072|10447|3404317|28740|780738|15167|924537|17839|1769407|22841|1269887|19402|2468837|27375|1154948|19245|267676|8894|200216|8458
0300000US7|28519327|17220|692791|16742|11551|2906|8046|1580|15513|2778|40210|4426|84042|6913|50747|4498|86803|6937|384811|15981|114524|8004|254667|10750|458982|17482|376190|10705|446039|13088|572462|16875|6221897|42494|1348868|24116|1922761|27023|3744366|39791|2212186|30104|5958527|45649|2571085|28985|540646|16732|401613|13079
0300000US8|17979612|11072|305100|12635|4862|1376|5413|1632|6214|1557|12193|2785|26561|3635|19180|2838|31413|3591|125313|8760|31662|3532|106195|8113|169626|9238|165304|8434|218213|9767|370483|13806|3485528|37152|742225|16390|1297216|22312|2548991|24368|1628085|21948|4132468|38617|1829691|25491|396220|13108|321456|10743
0300000US9|37627105|9896|1177562|25100|13557|2318|15825|2201|33870|3834|69353|5277|145751|8282|91722|7313|138595|8309|649361|16040|115359|6737|256357|10186|459885|15007|341751|11336|428474|13153|981485|21063|6829641|50067|1082637|19075|2346323|31987|4848457|39970|3132552|26835|8781093|51269|3956037|34484|980916|17014|750542|18037
03000A0US1|10545541|5535|196037|10319|3056|994|1301|718|4840|1778|7094|1623|16668|3226|18580|3096|21099|3219|38803|4047|23249|3271|63395|5448|79202|6555|89748|6238|96387|5571|165748|8858|2192086|26099|360100|11811|569506|15600|1028757|20851|825069|14581|2611911|25235|1515541|20068|331101|10606|286263|9192
03000A0US2|29491683|8222|699231|17790|11851|2164|8856|2052|14793|2985|24228|3147|49657|5034|46837|5336|78466|5710|195692|10485|78059|5880|260952|10542|246391|11468|309984|9870|356974|12164|605106|16053|6742328|43265|1075601|21284|1544766|24947|2685994|27608|2429113|30490|6881187|46005|3721317|30942|848555|16901|575745|15141
03000A0US3|30948668|12438|488484|14876|7497|1484|6881|1902|8127|1510|14111|2264|24207|3027|25528|2889|28708|3360|132125|9944|39578|4296|225012|11318|217690|9946|329364|11454|406726|12325|557061|12897|7414255|50788|1194883|19519|2131580|24738|3832936|33966|2892320|30450|6720296|47889|3114653|36109|633373|13585|503273|12117
03000A0US4|12702412|11739|181431|8196|2846|849|2605|990|3672|1219|5421|1384|7513|1730|7507|1824|9648|1938|38945|4265|16019|2435|78362|5511|70503|4469|111721|5596|138224|7840|190628|7194|2710006|28243|465316|12876|902549|15856|1615764|19973|1331671|20050|3025046|29307|1274250|18869|278700|8591|234065|7717
03000A0US5|46537508|23043|819021|24689|16779|3055|10838|2435|18263|3366|31686|4381|65544|5762|51076|6215|82696|6490|267861|11892|112927|7759|283848|11821|452512|14387|543059|15375|589141|18446|879325|19824|9883993|64111|1840056|23355|2900645|34722|5469556|51448|4252555|42803|10553544|63421|5286447|44252|1219872|19077|906264|17181
03000A0US6|12028546|12710|180795|9132|4187|1253|2163|787|3154|1235|5799|1671|12024|2437|8110|2129|15844|2937|44985|4900|32404|3338|112312|6627|136658|6168|180336|7894|212197|9783|222725|9364|2893296|27228|659166|14651|813353|16944|1571978|21057|1112167|19110|2297075|25459|1065063|18544|251497|8894|191258|8402
03000A0US7|26576896|14762|651145|16983|10811|2883|7742|1599|14872|2785|38493|4479|78842|6725|47412|4431|81627|6684|363471|15675|102532|7789|230129|10298|420937|15967|334216|10589|400608|12317|531826|16612|5643294|44351|1214945|22657|1764086|25415|3466984|36394|2060610|28194|5711056|45038|2483041|28665|526197|16546|392020|13080
03000A0US8|17057878|10330|296518|12680|4854|1374|5226|1596|6082|1547|11983|2758|26095|3635|18946|2832|30103|3609|122221|8772|30016|3418|96542|7844|159974|9250|150953|7960|202225|9402|354790|13655|3257064|34934|692915|16502|1228886|22274|2390682|23694|1541702|22268|3968672|37362|1765153|25493|384429|13005|311847|10575
03000A0US9|37130570|10298|1169959|24671|13398|2292|15755|2216|33834|3836|69125|5291|145225|8297|91188|7319|138022|8277|644986|15827|114334|6798|253102|10154|454900|14993|334821|11065|419157|13093|971351|21292|6703870|50138|1058752|19102|2305975|31206|4769359|39864|3083290|26259|8700222|51224|3922784|34208|972074|16897|745087|17890
03000C0US1|9661685|5038|188523|9907|2831|944|1233|698|4840|1778|7094|1623|16090|3089|18533|3089|21020|3208|38138|4034|22781|3208|58371|5169|75162|6466|81383|5991|88121|5400|154225|8747|1973693|24780|325044|10919|512038|14530|931960|19507|741064|14195|2412359|24484|1411001|18491|308197|10858|267984|8760
03000C0US2|27784724|7318|677271|16833|11430|2190|8796|2043|13994|2870|24066|3148|49372|5030|46368|5301|77471|5737|193801|10415|74331|5742|235154|10407|229129|11089|284462|9818|324420|11748|577564|16294|6173047|43336|977003|20826|1442941|23881|2524040|28063|2237391|30417|6628363|45748|3591615|30027|827020|17030|555675|15262
03000C0US3|27123027|10302|446668|14549|6912|1506|6453|1938|7514|1457|12395|2213|21635|3042|23283|2737|27413|3303|124710|10071|33527|4073|172250|8601|186095|9538|277554|10693|345831|10995|490760|12155|6194220|48939|1000484|17947|1821493|23926|3365673|32204|2471183|28298|6146957|45131|2876182|33075|594405|13377|469430|12005
