GEO_ID|B15003_E001|B15003_M001|B15003_E002|B15003_M002|B15003_E003|B15003_M003|B15003_E004|B15003_M004|B15003_E005|B15003_M005|B15003_E006|B15003_M006|B15003_E007|B15003_M007|B15003_E008|B15003_M008|B15003_E009|B15003_M009|B15003_E010|B15003_M010|B15003_E011|B15003_M011|B15003_E012|B15003_M012|B15003_E013|B15003_M013|B15003_E014|B15003_M014|B15003_E015|B15003_M015|B15003_E016|B15003_M016|B15003_E017|B15003_M017|B15003_E018|B15003_M018|B15003_E019|B15003_M019|B15003_E020|B15003_M020|B15003_E021|B15003_M021|B15003_E022|B15003_M022|B15003_E023|B15003_M023|B15003_E024|B15003_M024|B15003_E025|B15003_M025
400C200US10162|661993|9137|12033|2078|172|206|0|213|408|471|364|319|2596|1204|1055|773|3113|1179|3248|1150|1601|768|4857|1697|5349|1664|4208|1565|8573|2093|11229|2380|119882|6360|19548|2912|29438|3319|62890|4291|40963|3988|180572|7592|109206|5668|27526|2822|13162|1858
400C200US10351|52426|3190|845|487|0|213|0|213|0|213|0|213|68|103|0|213|8|4|171|206|0|213|172|170|977|608|961|417|854|492|687|318|13578|2065|3803|948|4505|1046|6399|1212|4290|1096|9528|1490|3987|1153|1010|528|583|350
400C200US10972|136450|3992|5698|1359|0|242|190|228|60|84|803|432|2002|835|897|591|2063|928|4290|1224|985|540|3144|1197|5414|1417|1547|643|2801|1108|3966|1273|24986|2854|7436|2049|8374|1825|11850|1940|11241|2268|27161|3072|9131|1719|1245|566|1166|668
400C200US11026|51252|2000|1446|1493|0|232|0|232|0|232|0|232|0|232|48|4|452|702|168|299|210|338|234|308|281|266|1158|756|932|830|1381|959|12023|2797|2241|852|3011|971|6312|1259|2977|884|11668|2095|4425|1116|1535|770|750|415
400C200US11350|666492|5086|11832|2156|80|134|0|220|353|320|0|220|355|241|369|323|1157|829|725|404|694|401|3316|1017|3176|1016|5062|1282|6492|1516|12600|2143|138750|6075|27439|3158|38579|3604|74627|5157|79255|4222|142671|6682|89375|4264|16253|2117|13332|2303
400C200US11728|99927|4750|607|299|0|226|0|226|0|226|219|350|130|142|67|122|662|758|380|396|71|85|1432|854|1820|1067|1876|925|2960|1154|836|441|21166|2622|4362|1359|8180|2080|12581|2430|10955|1933|20214|2816|7773|1736|1500|717|2136|842
400C200US11755|79659|2894|1240|572|0|170|0|170|0|170|0|170|0|170|0|170|238|329|0|170|75|42|183|155|239|195|968|606|222|252|632|399|12598|2187|1231|594|3283|974|8736|2158|4908|1200|25323|2648|13713|2028|3178|1007|2892|813
400C200US12754|56844|2858|102|87|0|225|0|225|0|225|0|225|84|103|409|587|0|225|33|39|42|71|290|364|359|379|342|275|30|49|419|269|9306|1802|440|322|3512|954|8313|1711|5780|1405|15672|2552|8388|1739|1409|579|1914|933
400C200US13375|202177|2962|1028|580|0|211|0|211|0|211|0|211|0|211|0|211|0|211|580|649|0|211|595|283|1460|797|1306|588|1760|898|3503|878|61485|4091|8512|1569|16401|1840|28744|2787|19851|2059|36579|3264|15600|2023|2486|792|2287|1013
400C200US13510|504192|6136|10952|2243|223|241|214|270|0|247|1017|721|1095|627|136|143|2346|1318|7592|2250|680|441|1505|722|6511|1904|3940|1115|5157|1370|12023|2319|139890|7357|19118|2689|37269|4080|57866|4188|46257|4118|94188|6158|39242|3694|9538|1322|7433|1438
