GEO_ID|B25064_E001|B25064_M001
0100000US|1487|3
0100089US|810|24
0100091US|985|11
0100093US|1272|63
0100094US|1072|28
01000A0US|1515|4
01000C0US|1569|3
01000C1US|1551|4
01000C2US|1590|5
01000E0US|950|5
01000E1US|951|6
01000E2US|949|7
01000G0US|821|7
01000H0US|904|5
010C201US|1541|4
010C243US|972|6
0200000US1|1579|7
0200000US2|1146|4
0200000US3|1433|5
0200000US4|1868|6
02000A0US1|1592|7
02000A0US2|1170|4
02000A0US3|1463|4
02000A0US4|1881|5
02000C0US1|1626|7
02000C0US2|1209|4
02000C0US3|1514|5
02000C0US4|1912|6
02000C1US1|1641|11
02000C1US2|1204|6
02000C1US3|1460|5
02000C1US4|1898|8
02000C2US1|1610|10
02000C2US2|1215|6
02000C2US3|1587|7
02000C2US4|1932|10
02000E0US1|997|17
02000E0US2|895|7
02000E0US3|915|7
02000E0US4|1198|19
02000E1US1|998|29
02000E1US2|897|11
02000E1US3|932|10
02000E1US4|1175|25
02000E2US1|996|20
02000E2US2|893|9
02000E2US3|894|11
02000E2US4|1227|32
02000G0US1|915|20
02000G0US2|789|7
02000G0US3|802|10
02000G0US4|975|27
02000H0US1|974|11
02000H0US2|856|5
02000H0US3|872|7
02000H0US4|1143|16
020C201US1|1615|7
020C201US2|1181|4
020C201US3|1492|5
020C201US4|1892|6
020C243US1|1079|16
020C243US2|878|7
020C243US3|945|9
020C243US4|1298|24
0300000US1|1628|15
0300000US2|1563|8
0300000US3|1167|5
0300000US4|1100|7
0300000US5|1602|6
0300000US6|1118|9
0300000US7|1355|7
0300000US8|1622|9
0300000US9|1991|8
03000A0US1|1651|15
03000A0US2|1573|8
03000A0US3|1182|5
03000A0US4|1143|7
03000A0US5|1628|5
03000A0US6|1158|9
03000A0US7|1379|7
03000A0US8|1645|9
03000A0US9|1998|8
03000C0US1|1687|16
03000C0US2|1607|8
03000C0US3|1219|6
03000C0US4|1187|7
03000C0US5|1666|5
03000C0US6|1237|11
03000C0US7|1414|8
03000C0US8|1684|9
03000C0US9|2024|8
03000C1US1|1707|24
03000C1US2|1628|11
03000C1US3|1220|8
03000C1US4|1173|9
03000C1US5|1622|8
03000C1US6|1261|14
03000C1US7|1385|7
03000C1US8|1642|11
03000C1US9|2042|11
03000C2US1|1675|21
03000C2US2|1582|11
03000C2US3|1218|7
03000C2US4|1207|12
03000C2US5|1703|7
03000C2US6|1200|16
03000C2US7|1469|13
03000C2US8|1762|16
03000C2US9|2000|11
03000E0US1|1210|31
03000E0US2|907|14
03000E0US3|891|9
03000E0US4|904|15
03000E0US5|954|16
03000E0US6|865|14
03000E0US7|930|13
03000E0US8|1116|27
03000E0US9|1290|30
03000E1US1|1232|53
03000E1US2|884|26
03000E1US3|883|15
03000E1US4|914|17
03000E1US5|948|26
03000E1US6|892|20
03000E1US7|961|15
