GEO_ID|B01003_E001|B01003_M001
04000A0US04|7491182|-555555555
04000A0US05|2514896|4754
04000A0US06|39173495|486
04000A0US08|5676699|3226
04000A0US09|3675069|-555555555
04000A0US10|1051917|-555555555
04000A0US11|702250|-555555555
04000A0US12|23056583|3400
04000A0US13|10442891|7521
04000A0US15|1446146|-555555555
04000A0US16|1850941|4902
04000A0US17|12103180|3227
04000A0US18|6464758|3206
04000A0US19|2499985|1794
04000A0US20|2559376|2444
04000A0US21|3795988|8357
04000A0US22|4299087|3754
04000A0US23|972107|-555555555
04000A0US24|6181022|-555555555
04000A0US25|7136171|-555555555
04000A0US26|9424553|618
04000A0US27|5305893|1142
04000A0US28|2381172|6953
04000A0US29|5414715|4749
04000A0US30|777634|2808
04000A0US31|1681180|2689
04000A0US32|3235221|2745
04000A0US33|1325358|-555555555
04000A0US34|9500851|-555555555
04000A0US35|2041395|4238
04000A0US36|19486501|-555555555
04000A0US37|10344635|3192
04000A0US38|607424|1508
04000A0US39|11408814|-555555555
04000A0US40|3538063|2997
04000A0US41|4208949|2072
04000A0US42|12715993|-555555555
04000A0US44|1112308|-555555555
04000A0US45|5170341|2842
04000A0US46|710659|3070
04000A0US47|6660826|4169
04000A0US48|29945072|9976
04000A0US49|3355099|-555555555
04000A0US50|520005|792
04000A0US51|7979444|6011
04000A0US53|7800685|2654
04000A0US54|1342583|2712
04000A0US55|5306639|818
04000A0US56|458457|3886
04000A0US72|3136219|6201
04000C0US01|4031025|3258
04000C0US02|502164|-555555555
04000C0US04|7236843|-555555555
04000C0US05|1907704|4388
04000C0US06|38588946|-555555555
04000C0US08|5233854|1958
04000C0US09|3463267|-555555555
04000C0US10|780783|-555555555
04000C0US11|702250|-555555555
04000C0US12|22686022|3400
04000C0US13|9330112|6316
04000C0US15|1162516|-555555555
04000C0US16|1474817|4682
04000C0US17|11107676|3515
04000C0US18|5426989|3756
04000C0US19|2019757|1303
04000C0US20|2110199|2220
04000C0US21|2860508|6539
04000C0US22|3882298|2678
04000C0US23|843646|-555555555
04000C0US24|5988206|-555555555
04000C0US25|7029569|-555555555
04000C0US26|8463074|-555555555
04000C0US27|4521402|912
04000C0US28|1462834|3992
04000C0US29|4725497|3874
04000C0US30|626973|2808
04000C0US31|1328670|1388
04000C0US32|3032285|1396
04000C0US33|887097|-555555555
04000C0US34|9500851|-555555555
04000C0US35|1437867|2952
04000C0US36|18497077|-555555555
04000C0US37|8801323|2075
04000C0US38|489305|1264
04000C0US39|9759269|-555555555
04000C0US40|2787309|1713
04000C0US41|3629174|-555555555
04000C0US42|11319874|-555555555
04000C0US44|1112308|-555555555
04000C0US45|4745440|2254
04000C0US46|469337|3119
04000C0US47|5699625|3696
04000C0US48|28304451|6976
04000C0US49|3083556|618
04000C0US50|229550|792
04000C0US51|7740213|6245
04000C0US53|7145120|1559
04000C0US54|1085524|3338
04000C0US55|4447785|-555555555
04000C0US56|182193|-555555555
04000C0US72|3002951|4217
04000C1US01|1414370|7151
04000C1US02|331862|3123
04000C1US04|4252604|2228
04000C1US05|881063|2557
04000C1US06|18298993|3241
04000C1US08|2537359|941
04000C1US09|1047990|1389
04000C1US10|113367|30
04000C1US11|702250|-555555555
04000C1US12|6617288|14454
04000C1US13|2133418|4986
04000C1US15|396429|6178
04000C1US16|512686|1707
04000C1US17|4149868|10458
04000C1US18|2235009|14525
04000C1US19|929818|4012
04000C1US20|1097178|3465
04000C1US21|1194213|2815
04000C1US22|1402299|11584
04000C1US23|192982|37
04000C1US24|1171749|13662
04000C1US25|1556340|3079
04000C1US26|2503083|6006
04000C1US27|1575328|1633
04000C1US28|312599|1825
04000C1US29|1375247|3417
04000C1US30|352330|55
04000C1US31|841993|2300
04000C1US32|1846777|13764
04000C1US33|208231|34
04000C1US34|1062093|8735
04000C1US35|814138|60
04000C1US36|9863470|6487
04000C1US37|3768973|6121
04000C1US38|320295|4529
04000C1US39|2693471|5217
04000C1US40|1265524|2259
04000C1US41|1665763|1452
04000C1US42|2777103|7565
04000C1US44|278264|40
04000C1US45|992616|7608
04000C1US46|289191|47
04000C1US47|2522081|1824
04000C1US48|13886196|15668
04000C1US49|825906|93
04000C1US50|64561|2822
04000C1US51|2394527|7303
04000C1US53|3048964|8525
04000C1US54|245194|6858
04000C1US55|1780080|3290
04000C1US56|123520|3652
04000C1US72|855007|10512
04000C2US01|2616655|7710
04000C2US02|170302|3123
04000C2US04|2984239|2228
04000C2US05|1026641|5174
04000C2US06|20289953|3241
04000C2US08|2696495|2227
04000C2US09|2415277|1389
04000C2US10|667416|30
04000C2US12|16068734|15295
04000C2US13|7196694|8315
04000C2US15|766087|6178
04000C2US16|962131|5296
04000C2US17|6957808|10767
04000C2US18|3191980|14479
04000C2US19|1089939|4073
04000C2US20|1013021|4227
04000C2US21|1666295|7471
04000C2US22|2479999|11482
04000C2US23|650664|37
04000C2US24|4816457|13662
04000C2US25|5473229|3079
04000C2US26|5959991|6006
04000C2US27|2946074|1888
04000C2US28|1150235|4371
04000C2US29|3350250|5418
04000C2US30|274643|2805
04000C2US31|486677|2770
04000C2US32|1185508|13988
04000C2US33|678866|34
04000C2US34|8438758|8735
04000C2US35|623729|2951
04000C2US36|8633607|6487
04000C2US37|5032350|6232
04000C2US38|169010|4696
04000C2US39|7065798|5217
04000C2US40|1521785|2911
04000C2US41|1963411|1452
04000C2US42|8542771|7565
04000C2US44|834044|40
04000C2US45|3752824|8193
04000C2US46|180146|3118
04000C2US47|3177544|4294
04000C2US48|14418255|18131
04000C2US49|2257650|631
04000C2US50|164989|3059
04000C2US51|5345686|9872
04000C2US53|4096156|8624
04000C2US54|840330|6999
04000C2US55|2667705|3290
04000C2US72|2147944|11636
04000E0US01|719593|2145
04000E0US04|254339|-555555555
04000E0US05|607192|2080
04000E0US06|584549|486
04000E0US08|442845|2799
04000E0US09|211802|-555555555
04000E0US10|271134|-555555555
04000E0US12|370561|-555555555
04000E0US13|1112779|6149
04000E0US15|283630|-555555555
04000E0US16|376124|3814
04000E0US17|995504|2597
04000E0US18|1037769|2086
04000E0US19|480228|1121
04000E0US20|449177|1929
04000E0US21|935480|5830
04000E0US22|416789|2430
04000E0US23|128461|-555555555
04000E0US24|192816|-555555555
04000E0US25|106602|-555555555
04000E0US26|961479|618
04000E0US27|784491|717
04000E0US28|918338|6044
04000E0US29|689218|2292
04000E0US30|150661|-555555555
04000E0US31|352510|2453
04000E0US32|202936|2171
04000E0US33|438261|-555555555
04000E0US35|603528|2717
04000E0US36|989424|-555555555
04000E0US37|1543312|3660
04000E0US38|118119|977
04000E0US39|1649545|-555555555
04000E0US40|750754|2497
04000E0US41|579775|2072
04000E0US42|1396119|-555555555
04000E0US45|424901|1673
04000E0US46|241322|3108
04000E0US47|961201|3174
04000E0US48|1640621|8051
04000E0US49|271543|618
04000E0US50|290455|-555555555
04000E0US51|239231|1803
04000E0US53|655565|2076
04000E0US54|257059|2888
04000E0US55|858854|818
04000E0US56|276264|3886
04000E0US72|133268|4322
04000E1US01|206124|8442
04000E1US05|237791|7649
04000E1US06|147580|8689
04000E1US08|129259|7153
04000E1US12|91415|7283
04000E1US13|332484|11657
04000E1US15|83490|6931
04000E1US16|128952|6711
04000E1US17|368656|9819
04000E1US18|369675|12081
04000E1US19|252379|7628
04000E1US20|300765|8022
04000E1US21|261948|8340
04000E1US22|131978|7056
04000E1US26|213426|9976
04000E1US27|321485|13473
04000E1US28|313739|9286
04000E1US29|257722|8947
04000E1US30|66511|536
04000E1US31|193919|6689
04000E1US32|103276|5665
04000E1US33|113229|5635
04000E1US35|300526|6386
04000E1US36|227605|7269
04000E1US37|404663|10458
04000E1US38|73630|4596
04000E1US39|484700|12544
04000E1US40|380944|7183
04000E1US41|190778|9396
04000E1US42|188172|8738
04000E1US45|90115|5992
04000E1US46|159732|5572
04000E1US47|267924|10777
04000E1US48|764071|16178
04000E1US49|96460|4502
04000E1US53|197111|7497
04000E1US55|249075|8382
04000E1US56|151976|7680
04000E2US01|513469|8441
04000E2US04|191266|6116
04000E2US05|369401|8218
04000E2US06|436969|8592
04000E2US08|313586|7579
04000E2US09|169130|2088
04000E2US10|259982|4241
04000E2US12|279146|7283
04000E2US13|780295|12450
04000E2US15|200140|6931
04000E2US16|247172|7026
04000E2US17|626848|10367
04000E2US18|668094|12148
04000E2US19|227849|7597
04000E2US20|148412|7431
04000E2US21|673532|9235
04000E2US22|284811|7322
04000E2US23|92256|3899
04000E2US24|131208|4278
04000E2US25|75790|4877
04000E2US26|748053|10031
04000E2US27|463006|13368
04000E2US28|604599|10479
04000E2US29|431496|9290
04000E2US30|84150|536
04000E2US31|158591|7397
04000E2US32|99660|5524
04000E2US33|325032|5635
04000E2US35|303002|6421
04000E2US36|761819|7269
04000E2US37|1138649|11999
04000E2US39|1164845|12544
04000E2US40|369810|7004
04000E2US41|388997|9897
04000E2US42|1207947|8738
04000E2US45|334786|6275
04000E2US46|81590|5297
04000E2US47|693277|11447
04000E2US48|876550|14073
04000E2US49|175083|4521
04000E2US50|249492|4147
04000E2US51|178893|2237
04000E2US53|458454|7256
04000E2US54|207294|5277
04000E2US55|609779|8336
04000E2US56|124288|6833
04000E2US72|102697|5213
04000G0US01|407081|3571
04000G0US02|192415|1516
04000G0US04|91202|-555555555
04000G0US05|573458|4754
04000G0US06|257768|486
04000G0US08|280795|3226
04000G0US12|315632|3400
04000G0US13|737987|7521
04000G0US16|150678|4902
04000G0US17|606978|3227
04000G0US18|459517|3206
04000G0US19|741503|1794
04000G0US20|411230|2444
04000G0US21|792384|8357
04000G0US22|298653|3754
04000G0US23|432905|-555555555
04000G0US24|82198|-555555555
04000G0US26|715906|618
04000G0US27|487258|1142
04000G0US28|561873|6953
04000G0US29|830751|4749
04000G0US30|359599|2808
04000G0US31|324286|2690
04000G0US33|83674|-555555555
04000G0US35|88861|4238
04000G0US36|380747|-555555555
04000G0US37|701389|3192
04000G0US38|189144|1508
04000G0US39|474490|-555555555
04000G0US40|557330|2997
04000G0US41|63422|2072
04000G0US42|362758|-555555555
04000G0US45|308490|2842
04000G0US46|214010|3070
04000G0US47|566924|4169
04000G0US48|1345759|9976
04000G0US49|148514|-555555555
04000G0US50|128488|792
04000G0US51|831751|6011
04000G0US53|157495|2654
04000G0US54|427396|2712
04000G0US55|654336|818
04000G0US56|129161|3886
