county_fips,state,state_name,county_name,class_year,projected_high_school_graduates,likely_college_entrants,likely_four_year_entrants,likely_four_year_entrants_low,likely_four_year_entrants_high,demographic_confidence,county_share_of_state_pool
01025,AL,Alabama,Clarke County,2035,193.091,121.261,80.841,68.824,93.823,Moderate,0.0034958015672283977
01025,AL,Alabama,Clarke County,2041,212.702,133.577,89.051,75.814,103.352,Low,0.003919898390598586
01027,AL,Alabama,Clay County,2026,144.275,90.605,60.403,51.425,70.103,High,0.0025974052087713822
01027,AL,Alabama,Clay County,2030,138.566,87.02,58.013,49.39,67.329,Moderate,0.0026181103669841886
01027,AL,Alabama,Clay County,2035,106.439,66.843,44.562,37.938,51.719,Moderate,0.0019270142630758347
01027,AL,Alabama,Clay County,2041,114.884,72.147,48.098,40.949,55.822,Low,0.0021172165248476795
01029,AL,Alabama,Cleburne County,2026,183.156,115.022,76.681,65.283,88.996,High,0.0032973759878514143
01029,AL,Alabama,Cleburne County,2030,147.813,92.827,61.884,52.685,71.822,Moderate,0.0027928220750197577
01029,AL,Alabama,Cleburne County,2035,150.693,94.635,63.09,53.712,73.222,Moderate,0.0027282098037792715
01029,AL,Alabama,Cleburne County,2041,160.475,100.778,67.186,57.199,77.975,Low,0.0029574104605141834
01031,AL,Alabama,Coffee County,2026,683.547,429.268,286.179,243.639,332.136,High,0.012305970142914908
01031,AL,Alabama,Coffee County,2030,624.258,392.034,261.356,222.506,303.327,Moderate,0.011794912797828173
01031,AL,Alabama,Coffee County,2035,648.338,407.156,271.438,231.089,315.028,Moderate,0.011737813913928682
01031,AL,Alabama,Coffee County,2041,635.711,399.226,266.151,226.589,308.892,Low,0.0117155812621921
01033,AL,Alabama,Colbert County,2026,577.516,362.68,241.787,205.846,280.615,High,0.010397070670650719
01033,AL,Alabama,Colbert County,2030,536.844,337.138,224.759,191.349,260.853,Moderate,0.01014329678653551
01033,AL,Alabama,Colbert County,2035,555.114,348.612,232.408,197.861,269.73,Moderate,0.010050043535708226
01033,AL,Alabama,Colbert County,2041,569.918,357.908,238.606,203.138,276.923,Low,0.010503077516227526
01035,AL,Alabama,Conecuh County,2026,93.482,58.707,39.138,33.32,45.423,High,0.001682960231725292
01035,AL,Alabama,Conecuh County,2030,83.61,52.507,35.005,29.801,40.626,Moderate,0.0015797551857608472
01035,AL,Alabama,Conecuh County,2035,72.979,45.831,30.554,26.012,35.46,Moderate,0.0013212404526797392
01035,AL,Alabama,Conecuh County,2041,67.448,42.357,28.238,24.041,32.773,Low,0.001242997296388472
01037,AL,Alabama,Coosa County,2026,76.708,48.172,32.115,27.341,37.272,Moderate,0.00138097671656935
01037,AL,Alabama,Coosa County,2030,82.184,51.612,34.408,29.293,39.933,Moderate,0.0015528187048030999
01037,AL,Alabama,Coosa County,2035,65.94,41.41,27.607,23.503,32.04,Moderate,0.0011938000052267195
