state,class_year,wiche_state_target,county_projection_sum,difference,relative_difference
ME,2041,12718,12718.000000000002,1.8189894035458565e-12,2.220446049250313e-16
MI,2026,100573,100573.00000000006,5.820766091346741e-11,6.661338147750939e-16
MI,2030,95746,95745.99999999997,-2.9103830456733704e-11,-3.3306690738754696e-16
MI,2035,96183,96182.99999999997,-2.9103830456733704e-11,-3.3306690738754696e-16
MI,2041,85131,85130.99999999999,-1.4551915228366852e-11,-2.220446049250313e-16
MN,2026,67286,67286.00000000001,1.4551915228366852e-11,2.220446049250313e-16
MN,2030,64403,64403.0,0.0,0.0
MN,2035,65154,65154.00000000002,2.1827872842550278e-11,4.440892098500626e-16
MN,2041,58295,58294.999999999985,-1.4551915228366852e-11,-2.220446049250313e-16
MO,2026,68422,68421.99999999999,-1.4551915228366852e-11,-2.220446049250313e-16
MO,2030,64138,64138.000000000044,4.3655745685100555e-11,6.661338147750939e-16
MO,2035,64283,64282.999999999985,-1.4551915228366852e-11,-2.220446049250313e-16
MO,2041,58880,58879.99999999997,-2.9103830456733704e-11,-4.440892098500626e-16
MS,2026,33708,33707.999999999985,-1.4551915228366852e-11,-4.440892098500626e-16
MS,2030,29644,29644.000000000007,7.275957614183426e-12,2.220446049250313e-16
MS,2035,29445,29444.99999999999,-1.0913936421275139e-11,-3.3306690738754696e-16
MS,2041,27003,27002.999999999996,-3.637978807091713e-12,-1.1102230246251565e-16
MT,2026,10737,10737.000000000005,5.4569682106375694e-12,4.440892098500626e-16
MT,2030,10692,10692.000000000002,1.8189894035458565e-12,2.220446049250313e-16
MT,2035,11218,11218.000000000004,3.637978807091713e-12,2.220446049250313e-16
MT,2041,10520,10519.999999999998,-1.8189894035458565e-12,-2.220446049250313e-16
NC,2026,121551,121551.0,0.0,0.0
NC,2030,118193,118192.99999999997,-2.9103830456733704e-11,-2.220446049250313e-16
NC,2035,123253,123252.99999999999,-1.4551915228366852e-11,-1.1102230246251565e-16
NC,2041,122719,122718.99999999994,-5.820766091346741e-11,-4.440892098500626e-16
ND,2026,8637,8637.0,0.0,0.0
ND,2030,9291,9291.000000000002,1.8189894035458565e-12,2.220446049250313e-16
ND,2035,9771,9770.999999999995,-5.4569682106375694e-12,-5.551115123125783e-16
ND,2041,8690,8690.0,0.0,0.0
NE,2026,25492,25492.000000000007,7.275957614183426e-12,2.220446049250313e-16
NE,2030,24909,24908.99999999998,-1.8189894035458565e-11,-7.771561172376096e-16
NE,2035,25009,25008.99999999999,-1.0913936421275139e-11,-4.440892098500626e-16
NE,2041,23263,23262.999999999993,-7.275957614183426e-12,-3.3306690738754696e-16
NH,2026,15213,15213.0,0.0,0.0
NH,2030,14146,14145.999999999998,-1.8189894035458565e-12,-1.1102230246251565e-16
NH,2035,14242,14242.000000000002,1.8189894035458565e-12,2.220446049250313e-16
NH,2041,13964,13964.0,0.0,0.0
NJ,2026,109903,109902.99999999999,-1.4551915228366852e-11,-1.1102230246251565e-16
NJ,2030,108465,108465.00000000001,1.4551915228366852e-11,2.220446049250313e-16
NJ,2035,108372,108371.99999999999,-1.4551915228366852e-11,-1.1102230246251565e-16
NJ,2041,107973,107973.00000000001,1.4551915228366852e-11,2.220446049250313e-16
NM,2026,22162,22162.000000000004,3.637978807091713e-12,2.220446049250313e-16
NM,2030,20634,20634.0,0.0,0.0
NM,2035,19426,19426.000000000007,7.275957614183426e-12,4.440892098500626e-16
NM,2041,17104,17104.000000000004,3.637978807091713e-12,2.220446049250313e-16
NV,2026,34639,34639.0,0.0,0.0
NV,2030,33321,33320.99999999999,-7.275957614183426e-12,-2.220446049250313e-16
NV,2035,34299,34299.00000000001,7.275957614183426e-12,2.220446049250313e-16
NV,2041,30156,30155.999999999993,-7.275957614183426e-12,-2.220446049250313e-16
NY,2026,200655,200654.99999999994,-5.820766091346741e-11,-3.3306690738754696e-16
NY,2030,183242,183242.00000000006,5.820766091346741e-11,2.220446049250313e-16
NY,2035,171389,171388.99999999983,-1.7462298274040222e-10,-9.992007221626409e-16
NY,2041,150533,150533.0000000001,8.731149137020111e-11,6.661338147750939e-16
OH,2026,141163,141163.0000000001,8.731149137020111e-11,6.661338147750939e-16
OH,2030,134175,134175.00000000006,5.820766091346741e-11,4.440892098500626e-16
OH,2035,134895,134894.99999999994,-5.820766091346741e-11,-4.440892098500626e-16
OH,2041,124461,124461.0,0.0,0.0
OK,2026,50769,50769.0,0.0,0.0
OK,2030,49595,49594.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
OK,2035,48457,48457.00000000004,3.637978807091713e-11,6.661338147750939e-16
OK,2041,46250,46250.00000000001,7.275957614183426e-12,2.220446049250313e-16
OR,2026,42839,42838.999999999985,-1.4551915228366852e-11,-3.3306690738754696e-16
OR,2030,39182,39181.999999999985,-1.4551915228366852e-11,-3.3306690738754696e-16
OR,2035,38349,38348.99999999999,-7.275957614183426e-12,-2.220446049250313e-16
OR,2041,33272,33272.0,0.0,0.0
PA,2026,139630,139629.99999999997,-2.9103830456733704e-11,-2.220446049250313e-16
PA,2030,129575,129574.99999999999,-1.4551915228366852e-11,-1.1102230246251565e-16
PA,2035,127318,127318.0,0.0,0.0
PA,2041,116928,116928.0,0.0,0.0
RI,2026,11199,11199.0,0.0,0.0
RI,2030,10366,10366.0,0.0,0.0
RI,2035,10341,10341.000000000002,1.8189894035458565e-12,2.220446049250313e-16
RI,2041,9492,9492.0,0.0,0.0
SC,2026,58790,58789.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
SC,2030,57870,57870.000000000015,1.4551915228366852e-11,2.220446049250313e-16
SC,2035,60992,60992.00000000002,2.1827872842550278e-11,4.440892098500626e-16
SC,2041,61735,61734.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
SD,2026,10613,10612.999999999995,-5.4569682106375694e-12,-5.551115123125783e-16
SD,2030,10677,10676.999999999993,-7.275957614183426e-12,-6.661338147750939e-16
SD,2035,11196,11196.000000000005,5.4569682106375694e-12,4.440892098500626e-16
SD,2041,10357,10356.999999999996,-3.637978807091713e-12,-3.3306690738754696e-16
TN,2026,74939,74938.99999999999,-1.4551915228366852e-11,-2.220446049250313e-16
TN,2030,74906,74905.99999999997,-2.9103830456733704e-11,-3.3306690738754696e-16
TN,2035,79662,79662.0,0.0,0.0
TN,2041,81459,81458.99999999999,-1.4551915228366852e-11,-2.220446049250313e-16
TX,2026,410890,410890.0000000002,1.7462298274040222e-10,4.440892098500626e-16
TX,2030,399411,399410.9999999994,-5.820766091346741e-10,-1.4432899320127035e-15
TX,2035,410286,410286.00000000064,6.402842700481415e-10,1.5543122344752192e-15
TX,2041,414861,414861.00000000023,2.3283064365386963e-10,6.661338147750939e-16
UT,2026,50201,50201.0,0.0,0.0
UT,2030,48443,48442.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
UT,2035,48337,48336.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
UT,2041,44908,44907.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
VA,2026,102981,102980.99999999999,-1.4551915228366852e-11,-1.1102230246251565e-16
VA,2030,100188,100187.99999999994,-5.820766091346741e-11,-5.551115123125783e-16
VA,2035,102267,102267.00000000001,1.4551915228366852e-11,2.220446049250313e-16
VA,2041,93984,93984.00000000003,2.9103830456733704e-11,2.220446049250313e-16
VT,2026,5851,5851.0,0.0,0.0
VT,2030,5518,5518.0,0.0,0.0
VT,2035,5504,5504.000000000001,9.094947017729282e-13,2.220446049250313e-16
VT,2041,4921,4920.999999999999,-9.094947017729282e-13,-2.220446049250313e-16
WA,2026,83554,83554.0,0.0,0.0
WA,2030,79259,79259.0,0.0,0.0
WA,2035,80777,80777.00000000001,1.4551915228366852e-11,2.220446049250313e-16
WA,2041,73935,73935.00000000006,5.820766091346741e-11,8.881784197001252e-16
WI,2026,67781,67780.99999999999,-1.4551915228366852e-11,-2.220446049250313e-16
WI,2030,63368,63367.99999999998,-2.1827872842550278e-11,-3.3306690738754696e-16
WI,2035,62090,62090.00000000001,7.275957614183426e-12,2.220446049250313e-16
WI,2041,56910,56910.00000000001,7.275957614183426e-12,2.220446049250313e-16
WV,2026,17352,17351.99999999999,-1.0913936421275139e-11,-6.661338147750939e-16
WV,2030,16084,16083.999999999998,-1.8189894035458565e-12,-1.1102230246251565e-16
WV,2035,15092,15092.000000000002,1.8189894035458565e-12,2.220446049250313e-16
WV,2041,13388,13388.000000000004,3.637978807091713e-12,2.220446049250313e-16
WY,2026,6259,6259.000000000002,1.8189894035458565e-12,2.220446049250313e-16
WY,2030,5873,5873.000000000001,9.094947017729282e-13,2.220446049250313e-16
WY,2035,5466,5465.999999999999,-9.094947017729282e-13,-1.1102230246251565e-16
WY,2041,4709,4709.000000000003,2.7284841053187847e-12,6.661338147750939e-16
