county_fips,state,state_name,county_name,graduates_2026,change_2026_from_2026,pct_change_2026_from_2026,confidence_2026,graduates_2030,change_2030_from_2026,pct_change_2030_from_2026,confidence_2030,graduates_2035,change_2035_from_2026,pct_change_2035_from_2026,confidence_2035,graduates_2041,change_2041_from_2026,pct_change_2041_from_2026,confidence_2041
01001,AL,Alabama,Autauga County,682.0533372295483,0.0,0.0,High,582.7568912101176,-99.29644601943073,-0.14558457616051812,Moderate,619.543870036261,-62.50946719328738,-0.09164894265776391,Moderate,631.7284896374855,-50.32484759206284,-0.07378432865159601,Low
01003,AL,Alabama,Baldwin County,2586.7805220915234,0.0,0.0,High,2703.2588700622837,116.4783479707603,0.04502830718571449,High,2881.8092119589523,295.02868986742897,0.11405246303187933,Moderate,3095.3800185663786,508.5994964748552,0.1966148624250621,Moderate
01005,AL,Alabama,Barbour County,231.2525521899818,0.0,0.0,High,182.0456654437937,-49.206886746188104,-0.21278418888870454,Moderate,176.57986666874345,-54.67268552123835,-0.23641981462899875,Moderate,158.53836401852598,-72.71418817145582,-0.3144362623583875,Low
01007,AL,Alabama,Bibb County,195.08271195376912,0.0,0.0,High,180.02980718805995,-15.052904765709172,-0.07716165422836863,Moderate,181.80077892723241,-13.281933026536706,-0.06808359845686518,Moderate,170.06620148530217,-25.016510468466947,-0.12823540444934656,Low
01009,AL,Alabama,Blount County,608.2190531350313,0.0,0.0,High,564.4128981039955,-43.806155031035814,-0.07202364806764838,Moderate,573.5465147595824,-34.672538375448994,-0.057006662643551365,Moderate,549.544874302008,-58.67417883302335,-0.09646882735848306,Low
01011,AL,Alabama,Bullock County,93.90454139359842,0.0,0.0,Moderate,73.92007598459551,-19.984465409002908,-0.21281681495294824,Moderate,72.91467300997856,-20.989868383619864,-0.22352346406380263,Moderate,70.77218363148026,-23.13235776211816,-0.2463390739022886,Low
01013,AL,Alabama,Butler County,181.2960639152497,0.0,0.0,High,155.6932137951873,-25.602850120062413,-0.14122121334101856,Moderate,133.35173628724996,-47.94432762799974,-0.2644532186336501,Moderate,121.8317991150295,-59.46426480022021,-0.3279953437269212,Low
01015,AL,Alabama,Calhoun County,1467.741284050119,0.0,0.0,High,1396.371239751271,-71.37004429884792,-0.048625766049114394,High,1495.25149847928,27.510214429160897,0.0187432313365532,Moderate,1347.9641383670673,-119.77714568305169,-0.08160644316860521,Low
01017,AL,Alabama,Chambers County,311.51200661880785,0.0,0.0,High,304.09365392282814,-7.418352695979706,-0.023814018523714342,Moderate,287.03617068634355,-24.475835932464292,-0.07857108365782828,Moderate,328.8725911075522,17.360584488744337,0.05573006535824532,Low
01019,AL,Alabama,Cherokee County,234.20991199808026,0.0,0.0,High,221.96362339581935,-12.246288602260904,-0.05228766151605613,Moderate,225.79395787682284,-8.415954121257414,-0.03593338151002934,Moderate,197.9338153571125,-36.27609664096775,-0.1548871110171678,Low
01021,AL,Alabama,Chilton County,483.2124929354035,0.0,0.0,High,468.4301638328498,-14.78232910255366,-0.03059177756923137,Moderate,466.3187901769736,-16.893702758429868,-0.03496122928404555,Moderate,515.1358991395825,31.92340620417906,0.06606494383092576,Low
01023,AL,Alabama,Choctaw County,95.03422705234864,0.0,0.0,High,92.61760302565519,-2.416624026693455,-0.0254289859732566,Moderate,73.82591243716045,-21.208314615188186,-0.22316501404810507,Moderate,76.88249200150763,-18.151735050841012,-0.1910020801331116,Low
